PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A0840-00438-2011-BP01|PROPOSED ERECTION OF A BLOCK OF 5-STOREY MULTI-USER WAREHOUSE BUILDING COMPRISING 5 LEVELS OF FLATTED WAREHOUSE (TOTAL: 73 UNITS) AND A TEMPORARY ANCILLARY STAFF CANTEEN (CLEMENTI PLANNING AREA) ON LOT(S) 08616A  MK05|201439777|09/01/2014|30848|24200000|0
E3593-00148-2008-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 15-STOREY HDB BLOCK ON LOT 13380N  MK 18 AT 507 SERANGOON NORTH AVE 4 #09-398 SINGAPORE 550507|201439779|09/01/2014|0|0|0
E3593-00152-2008-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 25-STOREY HDB BLOCK ON LOT 04359P MK 17 AT 217 LORONG 8 TOA PAYOH #19-615 SINGAPORE 310217|201439780|09/01/2014|0|0|0
E1484-00001-2012-ST01|DESIGN AND CONSTRUCTION OF NEW INLET/OUTLET PIPELINES TO REPLACE EXISTING PIPES AT FORT CANNING SERVICE RESERVOIR ON LOT(S) 00501X  & 00627P  TS20 AT FORT CANNING|201439781|09/01/2014|0|0|0
E4111-00019-2013-ST01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SUCRALOSE FACILITY COMPRISING OF ADDITION OF EXISTING E1401 EQUIPMENT SUPPORT TO EXISTING PROCESS BUILDING ON LOT 1653X MK34 SAKRA PLACE ON JURONG ISLAND SINGAPORE|201439782|09/01/2014|0|0|0
E3593-00182-2009-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 25-STOREY HDB BLOCK ON       LOT 00580M TS 23 AT 103 SPOTTISWOODE PARK ROAD #12-108 SINGAPORE 080103 AT 103 SPOTTISWOODE PARK ROAD #12-108 SINGAPORE 080103|201439784|09/01/2014|0|0|0
E2537-00065-2009-ST01|PROPOSED INSTALLATION OF NEW RAILING TO THE EXISTING HDB FLAT ON LOT 4011W MK 27 AT UNIT #13-248 BLK 34 CHAI CHEE AVENUE|201439786|09/01/2014|0|0|0
A1404-00378-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY CANOSSAVILLE CHILDREN'S HOME & KINDERGARTEN BLOCK AND THE EXISTING 3-STOREY LEARNING CENTRE AT CANOSSA CONVENT PRIMARY SCHOOL ON LOT(S) 09253W  & 09256T  MK24 AT 1 SALLIM ROAD|201439787|09/01/2014|69|572000|0
E3263-00051-2009-ST01|PROPOSED SLOPE STABILITY IMPROVEMENT BY REGRADING THE EXISTING SLOPE AT THE SIDE OF HOUSE NO.10, 36 JALAN TANAH PUTEH ON LOT(S) 2112P  & 2113T  MK27 AT 10,36 JALAN TANAH PUTEH|201439788|09/01/2014|0|0|0
E0187-00003-2013-BP01|ADDITONS & ALTERATIONS TO THE EXISTING 2-STOREY SINGLE USER INDUSTRIAL FACTORY BUILDING TO A 2-STOREY SINGLE USER WAREHOUSE BUILDING WITH ANCILLARY OFFICE AND DEMOLITION OF CANTEEN ON LOT 08008V MK18 AT 12 ANG MO KIO INDUSTRIAL PARK 2|201439789|09/01/2014|0|0|0
A1074-00001-2007-BP01|ERECTION OF CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 18-STOREY AND 1 BLOCK OF 20-STOREY  RESIDENTIAL BUILDING (TOTAL: 64 UNITS)  WITH  BASEMENT CARPARK, SWIMMING POOL AND GYMNASIUM ON LOT796M TS 27 AT 32 CAIRNHILL ROAD|201439791|09/01/2014|0|0|64
E3407-00035-2013-ST01|PROPOSED TEMPORARY PIPE BRIDGE ON LOTS 02281T-PT, 03024V-PT, 01714M-PT, 01716V-PT, 02278T-PT, 03028K-PT, 03139-PT, 03140L-PT, 03141C-PT, 03142M-PT, MK 34 ALONG BANYAN DRIVE AND BANYAN PLACE AT JURONG ISLAND (WESTERN ISLANDS PLANNING AREA)|201439794|09/01/2014|0|0|0
A1400-66510-2011-BP01|CONSTRUCTION OF COVERED LINKWAY FROM BLOCK 503 BISHAN STREET 11 TO BISHAN JUNCTION 8/BISHAN MRT STATION ON LOT 12528V & 16901A SL (HDB) MK18 AT BISHAN STREET 11|201439795|09/01/2014|289|167000|0
A1388-50001-2010-BP01|ADDITIONS & ALTERATIONS AND RETENTION OF A MEZZZANINE AT 1ST STOREY BLOCK B OF EXISTING PART SINGLE / PART 4TH STOREY SINGLE-USER FACTORY WITH A BASEMENT CARPARK ON LOT 03838A MK07 AT 6 PIONEER PLACE|201439796|09/01/2014|240|200000|0
A1974-00008-2011-BP01|NEW ERECTION OF COVERED LINKWAY FROM EXISTING PEDESTRIAN OVERHEAD BRIDGE TO EXISTING CANOPY AT ANG MO KIO HUB MK18 ON LOT 09057W AND 16507W (PT) AT ANG MO KIO AVE 3 / ANG MO KIO HUB (ANG MO KIO PLANNING AREA)|201439797|09/01/2014|32|70000|0
A1400-66507-2011-BP01|CONSTRUCTION OF COVERED LINKWAY CUM DROP-OFF POINT AT BLOCK 117 BISHAN STREET 12 ON LOT NO. 06253N SL (HDB) MK 17|201439799|09/01/2014|100|85798|0
E3407-00019-2013-ST02|PROPOSED FOUNDATION FOR 1 UNIT DOUBLE-SIDED ILLUMINATED FREE STANDING SIGN ON LOT 00714L MK 09 AT 21 JURONG WEST ST 93 SINGAPORE 648964|201439798|09/01/2014|0|0|0
A1086-00001-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT(S) 5769X MK18 AT 56 LI HWAN DRIVE|201439800|09/01/2014|196|420000|0
A0647-00345-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PART 1ST STOREY VOID DECK TO SENIOR SERVICES CENTRE AT BLOCK 572A AT WOODLANDS AVENUE 1 ON LOT 5645C MK 13 AT WOODLANDS AVENUE 1|201439801|09/01/2014|312|500000|0
E2511-00220-2013-BP01|ADDITION AND ALTERATION TO AN EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 03033C MK11 AT 220 VERDE VIEW SINGAPORE 688767.|201439803|09/01/2014|291|300000|0
A1282-00101-2008-BP01|APARTMENT DEVELOPMENT COMPRISING 1 BLOCK OF 15-STOREY RESIDENTIAL FLATS (TOTAL 26 UNITS) WITH SKY TERRACE ON LOTS 04148W & 04652L MK17 AT 8 JALAN RAJA UDANG|201439804|09/01/2014|5601|15872|26
E3407-00023-2008-ST01|PROPOSED ADDITION AND ALTERATION WORKS INVOLVING THE EXTENSION OF EXISTING REINFORCED CONCRETE RAMP AND FLOATING PONTOON ON LOTS 3147K AND 3148N MK 3 AT NO. 50 WEST COAST FERRY ROAD|201439793|09/01/2014|0|0|0
E2715-00012-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING INSTITUTION BUILDINGS ON LOTS 00793X TS 27 AT 37 EMERALD HILL ROAD (NEWTON / ORCHARD PLANNING AREA)|201439806|10/01/2014|161|15000|0
A1634-00823-2011-BP01|ERECTION OF A SINGLE-STOREY SINGLE-USER LIGHT INDUSTRIAL DEVELOPMENT WITH A 4-STOREY ANCILLARY OFFICE BUILDING ON LOT 04356X MK07 AT 30 TUAS AVENUE 11|201439808|10/01/2014|6831|7600000|0
A1702-00003-2010-BP01|ERECTION OF A 2-STOREY SEMI DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 02658L MK18 AT 27 SELETAR HILLS DRIVE|201439809|10/01/2014|500|1200000|1
A1456-00180-2013-BP01|ADDITION & ALTERATION TO EXISTING SINGLE USER INDUSTRIAL DEVELOPMENT ON LOT 00567T MK11 AT 56 SUNGEI KADUT STREET 1|201439810|10/01/2014|712|350000|0
A1236-00001-2010-BP01|ADDITIONS AND ALTERATIONS AND REINSTATEMENT WORKS DUE TO FIRE DAMAGE TO KAMPUNG SIGLAP MOSQUE ON LOT 6600 MK27 AT 451 MARINE PARADE ROAD|201439811|10/01/2014|4231|5000000|0
A0224-00009-2012-BP01|RECONSTRUCTION WITH ADDITION OF 3RD STOREY TO AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02421W MK03 AT 9 SPRINGWOOD WALK|201439815|10/01/2014|285|520000|1
E2834-00025-2012-BP01|ADDITION OF TWO LIFTS AT LOBBY A (PODIUM C) FROM B1 TO 4TH STOREY AT CHANGI GENERAL HOSPITAL. ON LOT 06894M PT MK28 AT 2 SIMEI STREET 3|201439814|10/01/2014|24|1976260|0
A1812-00006-2007-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 7 BLOCKS OF 16-STOREY RESIDENTIAL BUILDING (TOTAL 750 UNITS) AND 1 BLOCK MULTI STOREY CAR PARK WITH COMMUNITY FACILITIES & PRECINCT PAVILION ON LOT(S) 1423L, 1424C, 1978W, 607K, 662C & 706V MK21 AT COMPASSVALE LANE|201439816|10/01/2014|98933|126800000|750
A1770-00051-2011-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT 98150T MK 18 AT NO 5 STOKESAY DRIVE|201439820|10/01/2014|538|1281000|1
A0449-00024-2006-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT AND SWIMMING POOL ON LOT 02110T TS 24 AT BISHOPSGATE (PLOT 7)|201439822|10/01/2014|0|0|1
A1664-00009-2007-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 302, 303, 306, 309, 310 TO 323 WITH ADDITION OF NEW LIFTS/ LIFT LOBBIES & ENTRANCE PORCHES ON LOTS 2224C, 2225M, 2226W, 2227V, 2233A, 2234K, 2235N, 2266N, 2267X, 2268L, 2269C, 2287M, 2288W, 2289V, 2290M, 2291W, 2292V, 2293V, 2294T, 2295A, 2296K, 2297N, 2298X, 2299L, 2300M, 2303P, 2304T, 2315W, 2316V, 2317P, 2318T, 2319A, 2320P, 2322A, 2329W, 2330C, 2356X, 2357L, 2358C, 2359M, 2360L, 2361C, 2362M, 2363W, 2364V, 2365P, 2366T, 2367A, 2368K, 2369N, 2372N, 2376M, 2377W, 2378V, 2379P, 2380W, 2388L, 2389C, 2390X, 2394W, 2395V, 2638L, 2657M, 2658W & 2712X AT BUKIT BATOK STREET 32/33|201439821|10/01/2014|0|0|0
E3508-00053-2011-BP01|ERECTION OF 1 BLOCK OF SINGLE STOREY SHED AND CONTINUED USE OF EXISTING BUILDING ON LOT 00072M PT MK12 AT LIM CHU KANG ROAD, SURIMBUN RECYCLING PARK|201439823|10/01/2014|0|0|0
E0179-00043-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING KRANJI MRT STATION ON LOT 3164L MK 13 AT NO. 960 WOODLANDS ROAD|201439825|10/01/2014|0|3471618|0
E3612-00002-2011-BP01|RETENTION OF ADDITIONS ALTERATIONS TO UNIT NO.34 OF THE EXISTING 2-STOREY JTC STANDARD TERRACE FACTORY ON LOT  1533W MUKIM 13 AT NO.34 SENOKO DRIVE|201439826|10/01/2014|390|500000|0
A1400-66503-2011-BP01|CONSTRUCTION OF COVERED LINKWAY CUM DROP-OFF POINT AT BLOCK 49 LORONG 5 TOA PAYOH ON LOT NO. 07146T SL (HDB) MK 17|201439827|10/01/2014|50|46953|0
E1615-00012-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 03102V MK 31 AT 161 LOYANG RISE|201439829|10/01/2014|0|0|1
E2829-01024-2013-BP01|ADDITIONS AND ALTERATIONS OF EXISTING 3-STOREY TERRACE DWELLING HOUSE ON LOT 03791K MK 03 AT 30 MAS KUNING TERRACE|201439830|10/01/2014|38|300000|0
A2160-01312-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING EDUCATION CENTRE ON LOT 12458T MK 18 AT BLOCK 257 BISHAN STREET 22 #01-347 SINGAPORE 570257|201439832|10/01/2014|0|383000|0
E2722-00112-2013-BP01|ADDITIONS AND ALTERATIONS  TO AN EXISTING 2-STOREY INTERMEDIATE RESIDENTIAL DWELLING HOUSE ON LOT 02634N MK 05 AT NO. 4 WEST COAST TERRACE SINGAPORE 127214|201439833|10/01/2014|195|236300|0
A0537-00170-2010-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING PUBLIC HOUSING DEVELOPMENT TO BLOCKS101, 103, 106, 107, 109, 110 & 111 AT YISHUN AVENUE 5 / YISHUN RING ROAD(LIFT UPGRADING PROGRAMME) ON LOT(S) 0822P , 0850M , 0851W , 0852V , 1155V  & 1539V  MK19 AT YISHUN AVENUE 5,  YISHUN RING ROAD|201439834|10/01/2014|168|402322|0
A0704-50704-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING EDUCATION CENTREAT BLK 489C, #01-171 TAMPINES STREET 45 ON LOT(S) 01728X  MK31 AT 489C TAMPINES STREET 45|201439836|13/01/2014|0|0|0
E2554-00114-2013-BP01|METAL ROOF OVER EXISTING OUTDOOR REFRESHMENT AREA FRONTING EATING HOUSE AT BLK 204 BEDOK NORTH ST 1 #01-435 SINGAPORE 460204|201439839|13/01/2014|100|80000|0
E3978-00063-2011-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 02466T MK 20 AT NO 14 FUDU WALK|201439842|13/01/2014|228|750000|0
A0224-06322-2012-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 01519X MK 17 AT 19 JALAN GIRANG|201439844|13/01/2014|319|330000|1
E0179-00039-2010-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS & ASSOCIATED WORKS TO EXISTING TAMPINES MRT STATION ON LOT 1048T MK 29 AT 20 TAMPINES CENTRAL 1|201439845|13/01/2014|0|3471618|0
A0870-00009-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY FACTORY AND PART 2-STOREY CANTEEN, PART 2-STOREY SUBSTATION TO PART SINGLE STORY WAREHOUSE, PART 2-STOREY OFFICE AND 2-STOREY SUBSTATION ON LOT 00863T MK 13 AT 3000 MARSILING ROAD|201439846|13/01/2014|7060|8000000|0
E0179-00016-2009-BP01|HALF-HEIGHT PLATFORM SCREEN DOORS AND ASSOCIATED WORKS TO EXISTING LAKESIDE MRT STATION ON LOTS 2458 & 1536PT MK 6 AT 201 BOON LAY WAY|201439847|13/01/2014|0|3471618|0
A0819-00177-2010-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE INVOLVING ADDITION OF AN ATTIC AND A SWIMMING POOL ON LOT(S) 02889N  MK04 AT 104 NAMLY AVENUE|201439848|13/01/2014|414|1060434|1
A1085-00011-2008-BP01|RETENTION OF EXT'G PARTITIONS AND A/A TO EXT'G 5-STOREY BUILDINGS WITH PROPOSED CHANGE OF USE FROM TEMPORARY HOTEL TO TEMPORARY BOARDING HOUSE FOR UNITS 169-A/B/D AND UNITS 171-A/B/C/D AND EXISTING COMMERCIAL SHOPS AT 1ST STOREY ON LOTS 00519M & 00520L TS 12 AT NOS. 169 & 171 BENCOOLEN STREET|201439849|13/01/2014|43|200000|0
A0489-00009-2011-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 2021P MK 4 AT 442 HOLLAND ROAD|201439851|13/01/2014|951|1787000|1
A0637-00010-2012-BP01|ADDITION OF A DROP-OFF POINT AT EXISTING HDB BLOCK 368 ON LOTS 02712X  MK10 AT 368 BUKIT BATOK STREET 31|201439852|13/01/2014|34|32000|0
A0673-00013-2006-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 7 RESIDENTIAL BLOCKS OF 25/35/36/38/40-STOREY (1218 RESIDENTIAL UNITS), ONE BLOCK OF MULTI-STOREY CARPARK WITH COMMERCIAL FACILITIES, PRECINCT PAVILIONS & ESS AT BUKIT MERAH REDEVELOPMENT CONTRACT 23. ON LOT(S) 00678C , 00679M , 00681C , 00682M , 00688K , 00689N , 02015W , 02040K , 02096P  & 02119V  TS24|201439853|13/01/2014|400|1668880000|0
A1559-00001-2012-BP01|RECONSTRUCTION OF EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 05939T MK26 AT 39 EAST COAST AVENUE|201439854|13/01/2014|501|1350000|1
A1754-00010-2007-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 201 & 203 AT JURONG EAST N2 C8 AT JURONG EAST STREET 21 ON LOTS 4175 & 5600 MK05 AT 201 & 203 JURONG EAST STREET 21|201439855|13/01/2014|0|1256410|0
A0898-00930-2013-BP01|STUDENT SERVICE CENTRE (INSTITUTIONAL) AT 1ST STOREY VOID DECK OF A BLOCK OF HDB RESIDENTIAL FLATS AT 201 ANG MO KIO AVENUE 3 ON LOT 07089K MK 18 FOR CHINESE DEVELOPMENT ASSISTANCE COUNCIL|201439856|13/01/2014|0|0|0
E2620-00142-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING SINGAPORE MANUFACTURING PLANT (PHASE 2 COMPRISING MODIFICATION TO THE EXISTING BLENDING & SHIPPING BUILDING) FOR CHEVRON ORONITE PTE LTD, SINGAPORE EXPANSION PROJECT ON LOT(S) 1078W & 1706K MK34 AT 21 SAKRA ROAD|201439857|13/01/2014|1222|4500000|0
E3263-00079-2009-ST01|PROPOSED SLOPE STABILITY IMPROVEMENT BY REGRADING THE EXISTING SLOPE AT TEMENGGONG ROAD OFF TELOK BLANGAH ROAD ON LOT(S) 99318C  MK01 AT TEMENGGONG ROAD|201439859|14/01/2014|0|0|1
A1907-00008-2012-BP01|RETENTION OF SINGLE-STOREY FACTORY EXTENSION WORKS TO THE EXISTING SINGLE-USER FACTORY ON LOT 1209N MK 7 AT 45 GUL ROAD|201439861|14/01/2014|780|0|0
E2393-00942-2013-ST01|PROPOSED ADDITIONS AND ALTERATIONS TO BLK 603 ELIAS ROAD #02-220 AT 603 ELIAS ROAD #02-220 SINGAPORE 510603|201439868|14/01/2014|0|0|0
A1400-66501-2011-BP01|CONSTRUCTION OF PARK SHELTER NEAR GABLE END OF BLOCK 24 SIN MING ROAD ON LOT 14953V SL (HDB) MK18|201439874|14/01/2014|51|42739|0
A1400-66508-2011-BP01|CONSTRUCTION OF COVERED LINKWAY AT BLOCKS 229 TO 233A LORONG 8 TOA PAYOH ON LOT 10073K SL (HDB) MK17|201439875|14/01/2014|84|68146|0
A0854-00228-2013-BP01|ADDITIONS AND ALTERATIONS INVOLVING NEW LIFT TO EXISTING LIFT CORE AT EXISTING BLOCK 166A AND 172A (MULTI-STOREY CARPARK) ON LOT 07813W & 07871X MK22 AT HOUGANG AVENUE 1|201439877|14/01/2014|0|100948|0
A1404-80289-2009-BP01|A&A TO EXTG PUBLIC HOUSING DEVELOPMENT (LUP) FOR 6 BLKS OF 4-STOREY RESDT'L FLAT(BLK 301, 302, 304, 305, 312 & 317), 2 BLKS OF 11-STOREY RESDT'L FLAT(BLK 314&315) & 4 BLK OF 12-STOREY RESDT'L FLAT (BLK 311, 313, 316 & 318) W/ NEW LIFTS/ENTRANCE PORCHES ON LOTS 03082A , 03083K , 03084N , 04128X  & 05551X MK23 AT UBI AVENUE 1|201439866|14/01/2014|1059|7364947|0
A1044-01126-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING WARD 75 & 76 AT LEVEL 7 CHILDREN'S TOWER AT KK WOMEN'S AND CHILDREN'S HOSPITAL ON LOTS 1426M SL, 2251L SL, 97747A SL & 1427W SL TS 18 AT 100 BUKIT TIMAH ROAD|201439878|14/01/2014|3439|985974|0
A0449-00019-2011-BP01|ERECTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 01440V MK18 AT 75 JALAN GELENGGANG|201439879|14/01/2014|482|625000|0
A1590-00446-2011-BP01|ERECTION OF SINGLE-USER AVIATION TRANSPORT TRAINING FACILITY COMPRISING A BLOCK OF PART SINGLE-STOREY HANGER / PART 3-STOREY OFFICE WITH ANCILLARY FACILITY ON LOTS 4521X & 4543V MK20 AT SELETAR AEROSPACE VIEW|201439881|14/01/2014|5275|8010052|0
E2747-00550-2012-BP01|ADDITION AND ALTERATION TO EXISTING UTILITIES ON LOTS 01081W & 01082V MK34 AT 51 & 61 SAKRA AVENUE JURONG ISLAND|201439883|14/01/2014|24|6038000|0
A2160-01309-2013-BP01|CONVERSION OF PART EXISTING VOID DECK TO EDUCATION CENTRE EXTENSION AND ADDITIONS AND ALTERATIONS TO EXISTING EDUCATION CENTRE ON LOT 05875P MK13 AT BLOCK 875 WOODLANDS STREET 82 #01-530/548|201439884|14/01/2014|103|127520|0
A1287-00003-2010-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 4-STOREY SEMBAWANG PRIMARY SCHOOL INVOLVING NEW EXTENSION OF A 7-STOREY CLASSROOM BLOCK CUM INDOOR SPORTS HALL ON LOT 05228M MK13 AT 10 SEMBAWANG DRIVE|201439887|15/01/2014|0|0|0
A1182-00008-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING SEMBAWANG SHOPPING CENTRE INVOLVING CHANGE OF USE TO UNITS AT 3RD STOREY LEVEL ON LOT(S) 00669M, 00989A & 00991T MK19 AT 604 SEMBAWANG ROAD (SEMBAWANG SHOPPING CENTRE)|201439888|15/01/2014|645|1276000|0
A1905-00086-2011-BP01|ERECTION OF A 2-STOREY TERRACE DWELLING WITH ATTIC ON LOT 97797W MK18 AT 8 BODMIN DRIVE|201439889|15/01/2014|328|900000|1
E3493-00102-2009-ST02|PROPOSED STRENGTHENING OF EXISTING FOOTING TO FAR EAST SHOPPINGCENTRE ON LOT(S) 110-2  MK24 AT ORCHARD ROAD|201439890|15/01/2014|0|0|0
A0414-00115-2011-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 02630L MK18 AT 40 JALAN KELULUT|201439891|15/01/2014|600|860000|1
A0414-00114-2011-BP01|ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH OPEN ROOF TERRACE AND A SWIMMING POOL ON LOT 01670N MK26 AT 42 LORONG J TELOK KURAU|201439892|15/01/2014|866|1400000|1
E4151-00008-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY TERRACED DWELLING HOUSE WITH AN ATTIC ON LOT 00577 MK 2 AT NO. 114 FARRER ROAD ( BUKIT TIMAH / TANGLIN PLANNING AREA )|201439886|15/01/2014|0|0|0
A1324-10015-2011-BP01|RECONSTRUCTION TO AN EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 98849N MK 25 AT 27 GOODMAN ROAD|201439893|15/01/2014|0|0|1
A1822-00004-2006-BP01|ALTERATIONS AND ADDITIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCK 156 TO 166 WITH NEW LIFTS/LIFT LOBBIES, DROP OFF PORCHES, COVERED LINKWAYS & GENERAL LANDSCAPING WORKS AT TAMPINES N1 C8, C10A & C12 AT TAMPINES ST 12 (INTERIM & LIFT UPGRADING PROGRAM ON LOT(S) 2629P , 2630W , 2631V , 2636N , 2637X , 2727L , 2728C , 2729M , 2856T , 2863X , 2864L , 2924M , 2925W , 2926V , 2991V , 2992P , 2993T , 3106C , 3107M , 3108W , 3109V , 3344X , 6412L  & 6414M  MK28 AT 162 TAMPINES STREET 12 SINGAPORE 521162,  159 TAMPINES STREET 12 SINGAPORE 521159,  164 TAMPINES STREET 12 SINGAPORE 521164,  158 TAMPINES STREET 12 SINGAPORE 521158,  156 TAMPINES STREET 12 SINGAPORE 521156,  165 TAMPINES STREET 12 SINGAPORE 521165,  160 TAMPINES STREET 12 SINGAPORE 521160,  163 TAMPINES STREET 12 SINGAPORE 521163,  157 TAMPINES STREET 12 SINGAPORE 521157,  166 TAMPINES STREET 12 SINGAPORE 521166,  161 TAMPINES STREET 12 SINGAPORE 521161|201439895|15/01/2014|6862|24023700|0
E0700-00029-2011-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY CONSERVED INTERMEDIATE TERRACE DWELLING HOUSE AND RECONSTRUCTION OF 3-STOREY REAR EXTENSION ON LOT 99655T MK 26 AT 26 CRANE ROAD|201439896|15/01/2014|219|380000|1
A1404-40289-2009-BP01|ADDITIONS & ALTERATIONS TO EXTG PUBLIC HOUSING DEVT(LUP)FOR 2 BLKS OF 11-STRY RESDTL FLAT(BLK 257 & 260)1 BLK OF 4/11 STRY RESDT'L FLAT(BLK 259),2 BLKS OF 10 STRY RESDT'L FLAT(BLK 261 & 262) & 1 BLK OF 4-STRY RESDT'L FLAT(BLK 258)W/ NEW LIFTS/ENTRANCE PORCHES AT TAMPINES ST 21 [TAMPINES PLANNING AREA] ON LOT(S) 03357N , 03373K , 03375X , 03376L , 03850N , 05523A  & 06938P  MK28 AT TAMPINES STREET 21 SINGAPORE 520258|201439898|15/01/2014|2122|6593658|0
A1914-00010-2008-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 725 TO 730 WITH NEW LIFTS / LIFT LOBBIES & ENTRANCE PORCHES AT YISHUN STREET 71 (LIFT UPGRADING PROGRAMME) ON LOT(S) 1053P , 1054T , 1055A , 1056K , 1127A , 1128K , 1130A , 1131K , 1132N , 1133X , 1134L  & 2073T  MK19 AT YISHUN STREET 71|201439897|15/01/2014|0|0|0
E2699-00021-2010-BP01|RECONSTRUCTION WORKS OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE HOUSE TO A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC ON LOT 00792V MK10 AT 14 JALAN ZAMRUD|201439899|15/01/2014|147|250000|1
E3900-00021-2009-ST01|PROPOSED REINSTATEMENT OF DRIVEWAY FOR SINGAPORE CIVIL DEFENCE FORCE HEADQUARTER  PHASE IV ON LOT(S) 6167L , 6168C  & 6169M  MK23 AT 91 UBI AVENUE 4 SINGAPORE CIVIL DEFENCE FORCE HEADQUARTER SINGAPORE 408827|201439948|20/01/2014|0|0|1
E3041-00020-2013-ST01|PROPOSED INSTALLATION OF SG EOT CRANE TO EXISTING SINGLE USER 2 STOREY DETACHED FACTORY ON LOT 04118C MK 7 AT 2 TUAS LOOP, TUAS CONNECTION, SINGAPORE 637341 FOR M/S STAZ SINGAPORE PTE LTD|201439949|20/01/2014|0|0|0
E2620-00151-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING SINGAPORE MANUFACTURING PLANT (PHASE 10 COMPRISING LABORATORY/MAINTENANCE BUILDING) FOR CHEVRON ORONITE PTE LTD SINGAPORE EXPANSION PROJECT ON LOT(S) 1078W  & 1706K  MK34 AT 21 SAKRA ROAD SINGAPORE 627890|201439950|20/01/2014|0|0|0
A1420-00915-2010-BP01|REDEVELOPMENT OF EXISTING 9-STOREY INDUSTRIAL BUILDING INTO AN 11- STOREY PART COMMERCIAL, PART INDUSTRIAL DEVELOPMENT COMPRISING SHOPS ON THE 1ST AND 2ND STOREY AND MULTIPLE-USER INDUSTRIAL USE ON THE UPPER FLOORS AND CARPARKS ON THE 1ST TO 5TH STOREY ON LOTS 01338M & 02500N PT TS17 AT KALLANG AVENUE (KALLANG PLANNING AREA)|201439901|15/01/2014|0|0|0
