PROJECT REFERENCE NUMBER|PROJECT TITLE|DATE APPROVED
A0704-00473-2010-CN07|PROPOSED RESIDENTIAL PUBLIC HOUSING DEVELOPMENT COMPRISINGOF 9 BLOCKS OF 17-STOREY FLATS (TOTAL:856 UNITS) AND 2 LEVELS CARPARK WITH LANDSCAPE GARDEN COMMUNITY FACILITIES, PRECINCT PAVILION & ESS AT PUNGGOL WAY/PUNGGOL CENTRAL (PUNGGOL PLAN AREA) ON  LOT2226A PT MK 21, PUNGGOL WAY, SINGAPORE 820000|20/01/2014
A1185-00285-2010-CN01|PROPOSED ERECTION OF A 5-STOREY BLOCK OF RESIDENTIAL FLATS ( TOTAL: 16 UNITS) WITH ROOF TERRACES AND A BASEMENT CARPARK (MECHANICAL SYSTEM) AND A SWIMMING POOL AT 1ST STOREY ON LOT 2205A MK 25 AT 4 , HAIG AVENUE , SINGAPORE 438859|27/01/2014
A1753-00130-2009-CN01|PROPOSED ERECTION OF A BLOCK OF 14 STOREY RESIDENTIAL BUILDING COMPRISING OF 90 UNITS APARTMENT WITH A SWIMMING POOL AND MECHANIZED CAR PARK ON LOT 04739C & 10382P  MUKIM 24 AT 455 SIMS AVENUE (GEYLANG PLANNING AREA) , SINGAPORE 387607|29/01/2014
A1445-01250-2012-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 98934P MK 18 AT NO. 65 PORTCHESTER AVENUE, SINGAPORE 556347|08/01/2014
A1085-00011-2011-CN01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH BASEMENT AND ATTIC ON LOT 00392M MK 18 AT NO. 36 CASUARINA ROAD, SINGAPORE 579424|10/01/2014
A1365-02283-2007-CN03|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 4 BLOCKS (E1, E2, E3 & F) OF 3 STOREY FLATS AND 6 BLOCKS ( A, B, C, D, G & H) OF 5 STOREY FLATS (TOTAL 393 UNITS) WITH BASEMENT CARPARKS AND COMMUNAL FACILITIES ON LOT 06495W MK 27 AT SIGLAP ROAD ON LOT 06495W MK27 AT 474, FLAMINGO VALLEY, 01-44, SIGLAP ROAD, SINGAPORE 454945|23/01/2014
A1278-01215-2012-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC & SWIMMING POOL ON LOT 97187W MK 18 AT 59 CONWAY GROVE|02/01/2014
A1533-00026-2012-CN01|PROPOSED NEW ERECTION OF A 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT01840W MK 18 , NO. 51, SEMBAWANG HILLS DRIVE, SINGAPORE 575918|08/01/2014
A1771-00014-2011-CN01|PROPOSED CHANGE OF USE & ADDITIONS AND ALTERATIONS FOR EXISTING CD ANTE ROOM TO SHOP AT MK22, LOT 07598A, HOUGANG MRT STATION (NE14), HOUGANG CENTRAL, SINGAPORE 538758 ON LOT 07598A MK22 AT , HOUGANG CENTRAL, SINGAPORE 538758|02/01/2014
A0781-00002-2011-CN06|PROPOSED PUBLIC HOUSING DEV'T COMPRISING 2 BLKS OF 16-STOREY & 3 BLKS OF 17-STOREY RESIDENTIAL FLATS (TOTAL 578 UNITS) WITH 1 BLK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES, PRECINCT PAVILION & ESS AT MONTREAL LINK/SEMBAWANG ROAD - N5 CONTRACT 1B ON LOT05799V PT, LOT04977T PT MK 13 , SEMBAWANG ROAD, SINGAPORE 758528|09/01/2014
A1698-00286-2011-CN01|PROPOSED NEW ERECTION OF PUBLIC HOUSING DEVELOPMENT COMPRISING 4 BLOCKS OF 13/14-STOREY RESIDENTIAL PUBLIC HOUSING (TOTAL 447 UNITS) WITH  MULTI-STOREY CAR PARK ON LOT 2838T MK 29 AT PASIR RIS DRIVE 1 / PASIR RIS CENTRAL ON LOT 2838T MK29 AT , PASIR RIS CENTRAL, SINGAPORE 519633|15/01/2014
A1378-00007-2010-CN04|PROPOSED ERECTION OF A PUBLIC HOUSING DEVELOPMENT COMPRISINGOF A 6 BLOCKS OF 17-STOREY RESIDENTIAL BUILDINGS AND 1 BLOCK OF6-STOREY MULTI-STOREY CARPARKS WITH COMMUNITY FACILITIES ON LOT 03721T MK 06 AT BOON LAY DRIVE|28/01/2014
A1694-00226-2012-CN01|PROPSOED ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ROOF TERRACE ON LOT 920P MK 20 AT 39 JALAN TARI PIRING (SENGKANG PLANNING AREA), SINGAPORE 799192|20/01/2014
A0781-00011-2010-CN09|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 14 BLOCKS OF 15-STOREY RESIDENTIAL BUILDING (TOTAL:1408) AND 2 BLOCKS OF MULTI-STOREY CARPARK WITH COMMUNITY FACILITIES & PRECINCT PAVILION ON LOT03069W MK 19 , AT YISHUN AVENUE 6 / YISHUN STREET 31 (YISHUN PLANNING AREA)|27/01/2014
A0382-10011-2011-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SWIMMING POOL ON LOT 04970V MK 18 AT 29 TAMARIND ROAD, SINGAPORE 806038|09/01/2014
A0781-00002-2011-CN05|PROPOSED PUBLIC HOUSING DEV'T COMPRISING 2 BLKS OF 16-STOREY & 3 BLKS OF 17-STOREY RESIDENTIAL FLATS (TOTAL 578 UNITS) WITH 1 BLK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES, PRECINCT PAVILION & ESS AT MONTREAL LINK/SEMBAWANG ROAD - N5 CONTRACT 1B ON LOT05799V PT, LOT04977T PT MK 13 , SEMBAWANG ROAD, SINGAPORE 758528|06/01/2014
A1590-00470-2012-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT00920W MK 04 , NO. 22, JALAN TENANG, SINGAPORE 277956|10/01/2014
A0650-00101-2013-CN01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 05501X MK 18 AT 11 GRACE PARK ( SERANGOON PLANNING AREA)|17/01/2014
A0947-00106-2012-CN01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT 00133C MK 19 , 34, JALAN KEMUNING, SINGAPORE 769756|21/01/2014
A1276-00611-2011-CN01|PROPOSED ERECTION OF ONE PAIR OF 2-STOREY SEMI-DETACHED DWELLING HOUSES, EACH WITH AN ATTIC AND SWIMMING POOL ON LOT 01020C MK31 AT 17 TOH DRIVE (PASIR RIS PLANNING AREA)|07/01/2014
A0814-00017-2010-CN04|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 7 BLOCKS OF 16-STOREY RESIDENTIALBUILDING (TOTAL 675  UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNAL FACILITIES,ESS & PRECINCT PAVILION  LOT1995W PT MK 21 , ANCHORVALE LINK, SENGKANG EAST WAY|10/01/2014
A1454-01292-2012-CN01|PROPOSED ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 01786N MK27 AT 43 SWAN LAKE AVENUE|02/01/2014
A1658-00058-2012-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 98217V MK18 AT 58 KENSINGTON PARK ROAD (BREAK-OFFFROM HOUSE NO. 60 KENSINGTON PARK ROAD), SINGAPORE 557292|24/01/2014
A0489-00002-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 99596T MK 2 AT 27 REBECCA ROAD, SINGAPORE 266704.|03/01/2014
A0781-00032-2010-CN02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 17-STOREY RESIDENTIAL FLATS (TOTAL: 960 UNITS), 1 BLOCK OF MULTI-STOREY CARPARK WITH COMMUNAL FACILITIES & PRECINCT PAVILIONS AT TAMPINES CENTRAL 7/ TAMPINES CONCOURSE ON LOT02811A PT MK 29 , SINGAPORE 524515|09/01/2014
A1771-00015-2011-CN01|CHANGE OF USE OF PART OF THE SEPARATION ROOM AND CD ANTE ROOM TO SHOP AT THE EXISTING SERANGOON MRT STATION (N-E LINE) MK 17 ON LOT 09796K PT, 09798X PT, 09800M PT, 09801W PT, 09802V PT, 09804T PT, 09805A PT, MK24 ON LOT 08345K PT, 09801W PT, 09991K PT, 10100K PT, 10102X PT, 10377W PT AT 600 UPPER SERANGOON ROAD (SERANGOON PLANNING AREA) ON LOT 08345K, 09796K, 09798X, 09800M, 09801W, 09802V, 09804T, 09805A, 09991K, 10100K, 10102X, 10377W MK17, MK24 AT 600, UPPER SERANGOON ROAD, SINGAPORE 534801|02/01/2014
A0711-01774-2011-CN01|PROPOSED ERECTION OF 3-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC AND ROOF GARDEN ON LOT 03026X MK 06 AT 2 YUNNAN DRIVE 1 (JURONG WEST PLANNING AREA), SINGAPORE 638246|28/01/2014
A1378-00032-2011-CN01|PROPOSED NEW ERECTION OF 12-BLOCKS OF 18-STOREY CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF BASEMENT CARPARK, COMMUNAL FACILITIES AND SWIMMING POOL AND CLUBHOUSE ON LOT 9557A MK 22 AT UPPER SERANGOON CRESCENT ON LOT 9557A MK22|07/01/2014
A1694-00184-2010-CN02|PROPOSED ERECTION OF A BLOCK OF 30-STOREY RESIDENTIAL FLAT (TOTAL 115 UNITS) WITH 5-STOREY MULTI-STOREY CAR PARKS AND COMMUNAL FACILITIES ON LOT 4470A MK 17 AT 17 JALAN RAJAH, SINGAPORE 329137|16/01/2014
A1485-00004-2010-CN05|PROPOSED HDB PUBLIC HOUSING DEVELOPMENT COMPRISING 7 RESIDENTIAL BLOCKS OF 16 STOREY (TOTAL 745 UNITS) AND A MULTI-STOREY CARPARK BLOCK CUM EATING HOUSE, ESS & PRECINCT PAVILION (SENGKANG N3C19) ON LOT1727T, LOT1724W PT, LOT2021K PT, MK 21 SENGKANG EAST WAY, ANCHORVALE ROAD|06/01/2014
A0814-00006-2011-CN01|PROPOSED ERECTION OF FLAT DEVELOPMENT COMPRISING 3 BLOCKS OF 14-STOREY BUILDING, 1 BLOCK OF 15-STOREY BUILDING AND 4 BLOCKS OF 18-STOREY BUILDING (TOTAL: 702 UNITS) WITH 4 LEVELS OF BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 10313C MK 24 AT BARTLEY ROAD/LORONG HOW SUN ON LOT 10313C MK24 AT , LORONG HOW SUN, SINGAPORE 539785|07/01/2014
A1276-00516-2010-CN01|PROPOSED ERECTION OF 36-STOREY RESIDENTIAL FLAT DEVELOPMENT(TOTAL 251 UNITS) 1 BASEMENT CARPARK & 4-STOREY MULTI STOREY CARPARK WITH 2 SKY TERRACE (14TH & 24TH STOREY) & SWIMMING POOL ON 5TH STOREY AND COMMUNAL FACILITIES AT 18 SPOTTISWOODE PARK ROAD ON LOT 00388P, 00820T TS23 AT 18, SPOTTISWOODE PARK ROAD, SINGAPORE 088642|22/01/2014
A1252-00416-2007-CN01|PROPOSED AMENDMENT TO APPROVED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 1 BLK OF 36-STY RESIDENTIAL FLAT (TOTAL 54 UNITS) WITH SKY TERRACES, 2 BASEMENT CAR PARKS, SWIMMING POOL & COMMUNAL FACILITIES ON LOT 1374V TS 24 AT ANGULLIA PARK (RIVER VALLEY PLANNING AREA ON LOT 1374V TS24|08/01/2014
A0539-00077-2010-CN01|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 12 STOREY RESIDENTIAL BUILDING (TOTAL: 301 UNITS) WITH 6 LEVEL MULTI STOREY CARPARK AND COMMUNAL FACILITIES ON LOT 07129X MK28 AT , SIMEI STREET 3, SINGAPORE 000000|24/01/2014
A1369-00926-2010-CN06|PROP. PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 13-STOREY RESIDENTAL BUILDING (TOTAL 948 UNITS) WITH COMMUNITY FACILITIES, 1 BLK OF 5-STOREY & 1 BLK OF 6-STOREY MULTI- STOREY CARPARK, 2 NOS. OF PRECINCT  PAVILIONS & ESS ON LOT01598C,  LOT01606X,  LOT01664T PT, MULOT01669L PT, LOT01690C PT, LOT01693V PT,  LOT02958W PT,  LOT01609M PT MK 19 AT YISHUN AVENUE 11 NEIGHBOURHOOD 4 CONTRACT 3 , SINGAPORE 760424|16/01/2014
A0506-00042-2010-CN01|PROPOSED PUBLIC HOUSING DEVELOPMENT (HDB) COMPRISING 1 BLOCK OF 17-STOREY RESIDENTIAL BUILDING (TOTAL 232 UNITS) WITH SURFACE CARPARK ON LOT 03977K MK 6 AT  JURONG WEST STREET 41 ON LOT 03977K MK06|27/01/2014
A1106-00014-2011-CN01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC, A BASEMENT & A SWIMMING POOL ON LOT 00300L, TS 27, AT 14 JALAN JINTAN,  SINGAPORE 229009|07/01/2014
A1247-00016-2011-CN01|PROPOSED  ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98457P  PT MUKIM 26 AT NO. 11 MARSHALL ROAD|20/01/2014
A1658-00010-2011-CN01|PROPOSED RECONSTRUCTION OF AN EXISTING 2 STOREY DETACHED DWELLING HOUSE WITH AN EXISTING BASEMENT AND AN ATTIC TO A NEW 2-STOREY DETACHED DWELLING HOUSE REATAINING THE EXISTING BASEMENT WITH A NEW ATTIC AND A POOL ON LOT08461V  MK 17  AT 20A MERRYN ROAD, SINGAPORE 298532|22/01/2014
A1334-00001-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND PROVISION OF A SWIMMING POOL ON LOTS 2066T TS 24 AT NATHAN ROAD|06/01/2014
A1485-00002-2010-CN05|PROPOSED HDB PUBLIC HOUSING DEVELOPMENT COMPRISING OF 3 RESIDENTIAL BLOCKS OF 16 STOREY AND 2 BLOCKS OF 15 STOREY (TOTAL 522 UNITS) WITH A MULTI-STOREY CARPARK BLOCK, ESS AND PRECINCT PAVILION (TAMPINES N8C26) ON LOT4245C MK 28 , AT TAMPINES AVENUE 5, TAMPINES AVENUE 8|28/01/2014
A1360-00001-2012-CN01|PROPOSED RECONSTRUCTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC & A SWIMMING POOL ON LOT 97281P MUKIM 18 AT 7 COOLING CLOSE, SINGAPORE 558167|08/01/2014
A1245-00003-2010-CN01|PROPOSED ERECTION OF A PAIR OF 2-STOREY SEMI-DETACHED DWELLING HOUSES WITH ATTIC ON LOT 99496V MK 15 AT 14 GLADIOLA DRIVE SINGAPORE 578795|20/01/2014
A0814-00015-2010-CN05|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BL0CKS OF 13-STOREY RESIDENTIAL BUILDING (TOTAL 696 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNITY FACILITIES, ESS, MINIMART, EATING ESTABLISHMENT, SHOPS, PRECINCT PAVILION AND RESIDENTS' COMMITTEE CENTRE ON LOT 3235P PT & 1609M PT MK19 AT YISHUN AVENUE 1 / YISHUN STREET 41 (YISHUN N4 C7), SINGAPORE 760000|24/01/2014
A1688-01209-2012-CN01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE HOUSE ON LOT 1285C MK 27 AT 17 PRIMROSE AVENUE, SINGAPORE 467251 (BEDOK PLANNING AREA)|22/01/2014
A1937-00020-2012-CN01|PROPOSED ERECTION OF 1 PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ROOF TERRACE & SWIMMING POOL ON  LOT99605L MK 22, AT 40 CHARLTON ROAD, SINGAPORE 539608|22/01/2014
A1274-00883-2009-CN01|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY CORNER TERRACE HOUSE TO 3-STOREY HOUSE WITH PROVISION OF AN ATTIC ON LOT 2178K MK26 AT 27 CEYLON ROAD SINGAPORE 429620 (GEYLANG PLANNING AREA)|28/01/2014
A1404-00306-2010-CN02|PROPOSED ERECTION OF A BLOCK OF 8 STOREY RESIDENTIAL FLATS (TOTAL 71 UNITS) WITH 1ST STOREY AND 2ND STOREY CAR PARKS AND PROVISION FOR A SWIMMING POOL ON LOT 02984A MK 24 AT LORONG 39 GEYLANG (GEYLANG PLANNING AREA), SINGAPORE 387866|15/01/2014
E3198-00013-2012-CN01|PROPOSED NEW ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02474P MK 25 AT 31 PEBBLE LANE (GEYLANG PLANNING AREA), SINGAPORE 437580|10/01/2014
A1276-00567-2011-CN01|PROPOSED ERECTION OF AN 8-STOREY RESIDENTIAL FLATS BUILDING WITH ROOF TERRACE (TOTAL 275 UNITS), SWIMMING POOL, COMMUNAL FACILITIES & BASEMENT CARPARKS ON LOT 03016K, 03017N, 03018X, 03019L, 03020N, 03021X, 03022L, 03023C, 03460W, 03617M MK25 AT 33, LORONG 28 GEYLANG, SINGAPORE 398437|15/01/2014
E1615-00031-2012-CN01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 00421K MK 04 AT 22 REDWOOD AVENUE SINGAPORE 276732|15/01/2014
A1207-00003-2009-CN01|PROPOSED ERECTION OF 2 STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOTS 2354M, 99567W & 2355W MK15 AT NO.12 TORONTO ROAD (BISHAN PLANNING AREA), SINGAPORE 574436|06/01/2014
A0414-00109-2012-CN01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00949X MK 24 AT 15A EDEN GROVE (SERANGOON PLANNING AREA)|15/01/2014
A1370-00013-2006-CN03|PROPOSED CONDOMINIUM DEV. COMPRISING 4 BLKS OF 21-STY RESIDENTIAL FLATS (TOTAL 383 UNITS) WITH 2 BASEMENT CARPARKS, 2 SKY TERRACES, 1 SWIMMING POOL, LANDSCAPE DECK AND ANCILLARY FACILITIES ON  PLOTN LOT3975L MK 25, AMBER ROAD|07/01/2014
A1959-01101-2011-CN01|PROPOSED NEW ERECTION OF 2 UNITS OF2 STOREY DETACHED HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 98382P MK04 AT 3 LEEDON PARK (PLOT 1), SINGAPORE 267880|13/01/2014
A1276-00355-2007-CN01|PROPOSED ERECTION OF 1  BLOCK OF 5 STOREY FLAT DEVELOPMENT WITH ATTIC (TOTAL 76 UNITS) WITH COMMERCIAL USE (6 SHOP UNITS) ON 1ST STOREY ONLY ON PLOT 1 AND 1 BLOCK OF 5-STOREY FLAT DEVELOPMENT WITH ATTIC ON PLOT 2 AND ANNEX MECHANISED CARPARK TOWER ON PLOTN LOT05640M MK 26 , NO. 398, CHANGI ROAD, SINGAPORE 388386|13/01/2014
A0779-00914-2009-CN02|PROPOSED INTEGRATED COMMERCIAL & RESIDENTIAL DEVELOPMENT COMPRISING 7 BLOCKS OF 5-STOREY RESIDENTIAL (CONDOMINIUM) BUILDING (TOTAL 319 RESIDENTIAL UNITS) WITH PROVISION OF BASEMENT CARPARKS, A SWIMMING POOL & COMMUNAL FACILITIES AND 2-STOREY COMMERCIAL BUILDING WITH SHOPS AND SUPERMARKET(TOTAL 35 UNITS) / BASEMENT CARPARKS ON LOT17047L  MK 18, YIO CHU KANG ROAD, SELETAR ROAD|28/01/2014
A0489-00003-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 99597A MK 2 AT 29 REBECCA ROAD, SINGAPORE 266705|06/01/2014
A0814-00001-2011-CN04|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 14-STOREY TO 19-STOREY RESIDENTIAL BUILDING (TOTAL : 792 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNITY FACILITIES, ESS, CHILDCARE CENTRE, PRECINCT PAVILION AND RESIDENTS' COMMITTEE CENTRE (HOUGANG N4 C17)  LOT02156N PT,  LOT02154A PT, LOT09147C PT,  LOT97709P PT,  LOT09456N PT MK 22|15/01/2014
A0814-00015-2010-CN04|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BL0CKS OF 13-STOREY RESIDENTIAL BUILDING (TOTAL 696 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNITY FACILITIES, ESS, MINIMART, EATING ESTABLISHMENT, SHOPS, PRECINCT PAVILION AND RESIDENTS' COMMITTEE CENTRE ON LOT 3235P PT & 1609M PT MK19 AT YISHUN AVENUE 1 / YISHUN STREET 41 (YISHUN N4 C7), SINGAPORE 760000|09/01/2014
A1369-00970-2010-CN06|PROP. PUBLIC HOUSING DEVT COMPRISING 12 BLKS OF 15-STY RESIDENTIAL BLDG (TOTAL 1400 UNITS) WITH COMMUNITY FACILITIES, 1 BLK OF 6/6-STY & 1 BLK OF 6/7-STY MULTI-STOREY CARPARK, 2 NOS. OF PRECINCT PAVILIONS, ESS & A NEIGHBOURHOOD PARK AT YISHUN AVENUE 9 FOR NEIGHBOURHOOD 3 CONTRACT 23 ON  LOT3069W PT MK 19, YISHUN AVENUE 9, SINGAPORE 760315|10/01/2014
A0449-00317-2012-CN01|PROPOSED RECONSTRUCTION OF THE EXISTING SINGLE-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON  LOT01113K MK 27, 45, FIDELIO STREET, SINGAPORE 458434|03/01/2014
A1485-00004-2010-CN06|PROPOSED HDB PUBLIC HOUSING DEVELOPMENT COMPRISING 7 RESIDENTIAL BLOCKS OF 16 STOREY (TOTAL 745 UNITS) AND A MULTI-STOREY CARPARK BLOCK CUM EATING HOUSE, ESS & PRECINCT PAVILION (SENGKANG N3C19) ON LOT1727T, LOT1724W PT, LOT2021K PT, MK 21 SENGKANG EAST WAY, ANCHORVALE ROAD|23/01/2014
A0814-00024-2006-CN01|PROPOSED ERECTION OF A BLOCK OF 33 STOREY CONDOMINIUM DEVELOPMENT ( TOTAL : 43 UNITS ) WITH A BASEMENT CARPARK, SWIMMING POOL, TENNIS COURT AND CLUBHOUSE FACILITIES ON LOT 715N TS 25 AT ARDMORE PARK ( NEWTON PLANNING AREA ) ON LOT 715N TS25|15/01/2014
A1334-00003-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND PROVISION OF A SWIMMING POOL ON LOTS 2068K TS 24 AT NATHAN ROAD|02/01/2014
A1520-00040-2012-CN01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT AND A SWIMMING POOL ON LOT 5579P MK04 AT NO.30 FIFTH AVENUE, SINGAPORE 268793|08/01/2014
A0889-00102-2012-CN01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC & A SWIMMING POOL ON LOT 00711K MK 16 AT 48 JALAN JAMBU AYER SINGAPORE 588798 [BUKIT TIMAH PLANNING AREA]|15/01/2014
A0779-00914-2009-CN04|PROPOSED INTEGRATED COMMERCIAL & RESIDENTIAL DEVELOPMENT COMPRISING 7 BLOCKS OF 5-STOREY RESIDENTIAL (CONDOMINIUM) BUILDING (TOTAL 319 RESIDENTIAL UNITS) WITH PROVISION OF BASEMENT CARPARKS, A SWIMMING POOL & COMMUNAL FACILITIES AND 2-STOREY COMMERCIAL BUILDING WITH SHOPS AND SUPERMARKET(TOTAL 35 UNITS) / BASEMENT CARPARKS ON LOT17047L  MK 18, YIO CHU KANG ROAD, SELETAR ROAD|22/01/2014
A1273-00011-2010-CN01|PROPOSED ERECTION OF 1 BLOCK OF 36 STOREYS CONDOMINIUM FLATS DEVELOPMENT (TOTAL 34 UNITS) WITH 2 BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES ON LOTS 01131M, 01132W & 01133V TS 25 AT ARDMORE PARK (NEWTON PLANNING AREA) ON LOT 01131M, 01132W, 01133V TS25|28/01/2014
A1525-00027-2010-CN01|PROPOSED ERECTION OF 2-STOREY GOOD CLASS BUNGALOW WITH SUB-BASEMENT & SWIMMING POOL ON LOT 99165N  MK 4 AT 2 ASTRID HILL (BUKIT TIMAH PLANNING AREA), SINGAPORE 269925|08/01/2014
A0781-00013-2011-CN01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 26-STOREY RESIDENTIAL FLATS (TOTAL: 1150 UNITS), 1 BLOCK OF 6-STOREY MULTI-STOREY CARPARK WITH COMMUNAL FACILITIES & 2 PRECINCT PAVILIONS AND COMMON GREEN AT SENGKANG N4 C24 AT FERNVALE LINK / SENGKANG WEST WAY ON LOT 04181N, 04184C, 04187V, 04279A, 04439T, 04470W, 04486P MK20 AT , FERNVALE LINK, SINGAPORE 791439|17/01/2014
A0814-00011-2010-CN06|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLKS. OF 16-STY. RESIDENTIAL BUILDING (TOTAL : 540 UNITS) WITH A BLK. OF MULTI-STOREY CARPARK, ESS, RESIDENT'S COMMITTEE CENTRE & PRECINCT PAVILION (WOODLANDS N7 C28) MK13 ON LOT 5846A AT WOODLANDS CRESCENT (WOODLANDS PLANNING AREA)|20/01/2014
A0814-00010-2010-CN06|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 6 BLKS. OF 16-STY. RESIDENTIAL BLDG. (TOTAL :789 UNITS) WITH A BLK. OF MULTI-STOREY CARPARK, ESS, EDUCATION CENTRE, SUPERMARKET, SHOPS, EATING ESTABLISHMENT & PRECINCT PAVILION (WOODLANDS N7 C26) ON LOT 05846A MK13 , WOODLANDS CRESCENT|20/01/2014
A1572-10211-2010-CN01|PROPOSED NEW ERECTION OF 1 UNIT OF 3-STOREY DETACHED HOUSE WITH A SWIMMING POOL AT MK 22 ON LOT 02190X, 09516L PT 107J HIGHLAND ROAD (HOUGANG PLANNING AREA), SINGAPORE 545059|14/01/2014
A0414-00103-2013-CN01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00640L MK 18 AT 14 JALAN LANJUT (ANG MO KIO PLANNING AREA), SINGAPORE 577657|03/01/2014
A1378-00007-2010-CN03|PROPOSED ERECTION OF A PUBLIC HOUSING DEVELOPMENT COMPRISINGOF A 6 BLOCKS OF 17-STOREY RESIDENTIAL BUILDINGS AND 1 BLOCK OF6-STOREY MULTI-STOREY CARPARKS WITH COMMUNITY FACILITIES ON LOT 03721T MK 06 AT BOON LAY DRIVE|10/01/2014
A0650-00466-2011-CN01|PROPOSED ERECTION OF 2 UNITS OF DETACHED HOUSE WITH SWIMMING POOLAND ROOF TERRACE ON LOT 915V MK 21 AT NO 82 GERALD DRIVE, SINGAPORE 799016|07/01/2014
