TITLE|BUILDER|PROFESSIONAL ENGINEER|ARCHITECT
PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AT 32 JALAN SEAVIEW ON LOT 818W MK25 AT JALAN SEAVIEW|TAN BENG KEONG , YKN BUILDERS PTE LTD|Ho Wah Foo|MRS LIM SUAT HUA
PROPOSED ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 93743T MK 28 AT 51 YARROW GARDENS|SOO HOO KEAT MIN , FERRINGHI CONSTRUCTION PTE LTD|CHIA CHIN YAN|CHIA CHIN YAN
PROPOSED RECONSTRUCTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ADDITIONAL ATTIC ON LOT NO: 00753T MUKIM 17 AT NO:40, JALAN TAMAN SINGAPORE 328987|QIU BING , GAO YI CONSTRUCTION ENGINEERING PTE. LTD.|NAGARAJAH SENTHILRAJAN|POON CHIP WAH
PROPOSED NGEE ANN POLYTECHNIC CAMPUS EXPANSION (PHASE 7-3) COMPRISING ERECTION OF A 6-STOREY BLOCK 58  WITH A BASEMENT CARPARK TO REPLACE EXT'G 3 BLOCKS OF LECTURE THEATRES AND A&A TO EXT'G CONVENTION CENTER AT 535 CLEMENTI ROAD (BUKIT TIMAH PLANNING AREA) ON LOT 03892K, 03904X, 05790P, 07299W & 08775C MK05 AT 535 CLEMENTI ROAD|Cheng Jee Jiuen , KWAN YONG CONSTRUCTION PTE LTD|LEE CHI KUAN|CHIN THOE CHONG
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SUCRALOSE FACILITY COMPRISING OF ADDITIONS OF MVR STRIPPER & ANCILLARY EQUIPMENT PLATFORMS AND ACCESS LINKWAY FROM MAIN PROCESS BUILDING TO MFC BUILDING ON LOT 1653X MK34 SAKRA PLACE ON JURONG ISLAND|MYO AUNG , SHIANG MAY CONSTRUCTION WORKS PTE LTD|ONG MENG WAN|
PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 5-STOREY RESIDENTIAL UNITS PLUS ATTIC WITH SWIMMING POOL, ANCILLARY FACILITIES AND 1 LEVEL BASEMENT CARPARK (TOTAL=186 UNITS) ON LOT 05544N, 05545X (SL) MK26 AT ST. PATRICK'S ROAD|Huang Xiao Qiang , China Construction Reality Co Pte Ltd|EUGENE NG|LAURENCE TAN JER KIAT
PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 00659X MK5 AT NO. 78 SUNSET WAY|KWA BENG SIONG , ASIALAND CONSTRUCTION PTE LTD|CHEANG JEN BOON|WONG KOK YAN
PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 01466V MK02 AT NO. 89 DUCHESS AVENUE|KHOO SOO KEONG , STRAITS TEAMWORK PTE LTD|ALEC CHEW KHEK HAN|LIM HSIANG IU
CONTRACT T213 - PROPOSED CONSTRUCTION OF CALDECOTT STATION AND TUNNELS FOR THOMSON LINE AT TOA PAYOH WEST ON LOT 05288V, 05344M, 06161T, 08219P, 09916C, 09918W & 10410T MK17 AT TOA PAYOH WEST|CHUNG HOI YONG , SAMSUNG C&T CORPORATION|GAN CHIEW MONG,LIM PENG HONG|
PROPOSED ERECTION OF 1 BLOCK OF 5-STOREY, 1 BLOCK OF 11-STOREY AND 1 BLOCK OF 18-STOREY RESEARCH BUILDINGS WITH 3 BASEMENTS INCLUDING M&E PLANTROOMS & CARPARKS ON LOT 04506N MK03 AT AYER RAJAH CRESCENT|KIM JONG SOO , GS ENGINEERING & CONSTRUCTION|CHAN CHEE CHOON|SOON YU KONG
PROPOSED ERECTION OF A PUBLIC HOUSING DEVELOPMENT COMPRISINGOF A 6 BLOCKS OF 17-STOREY RESIDENTIAL BUILDINGS AND 1 BLOCK OF6-STOREY MULTI-STOREY CARPARKS WITH COMMUNITY FACILITIES ON LOT 03721T MK 06 AT BOON LAY DRIVE|Lim Huay Leon Warren , CCM Industrial Pte Ltd|Dr Boey Choong Fatt|CHONG NAN HING
PROPOSED 2 UNITS OF 2-STOREY TERRACE DWELLING HOUSES CONSIST OF ONE INTERMEDIATE & ONE CORNER TERRACE BOTH WITH AN ATTIC AND ROOF GARDEN ON LOT 00545T & 00634T MK23 AT 27 JALAN KURNIA|YONG ENG WAH , WONDERS ENGINEERING CO PTE LTD|LEE CHOW KHOON|SIEW GUAN HWA
PROPOSED CONSTRUCTION OF DROP-OFF POINTAT BLK 559 ANG MO KIO AVENUE 10 ON LOT 07512W MK18|YEE BENG KUANG , YEE CONSTRUCTION AND RENOVATION PTE LTD|LENG KWEK MIN|TAY POH LOONG
PROPOSED CONSTRUCTION OF COVERED WALKWAY ON LOT 02082C PT MUKIM 19 AT BLOCK 135 AND 139 YISHUN STREET 11|LEE WAI TECK VICTOR , Right Tech (s) Pte Ltd.|LOH KHIUK LING|STEVEN SIOW
PROPOSED AMENDMENT TO APPROVED RECONSTRUCTION TO AN EXISTING 3-STOREY DETACHED DWELLING HOUSE WITH SWIMMING POOL TO A 3-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 06091M MK 04 AT NO. 11 HOLLAND GREEN|ER KIAN HOO , TOWNER CONSTRUCTION PTE LTD|GARY NG WEE GIAP|YAP MONG LIN
PROPOSED NEW ERECTION OF A 2-STOREY DETACHED HOUSE WITH BASEMENT, ATTIC AND SWIMMING POOL ON PLOT 1 AND PLOT 2 VACANT FOR FUTURE DEVELOPMENT ON LOT 98365P MK 04 AT 6 EWART PARK (BUKIT TIMAH PLANNING AREA)|Seah Seak Leng , Seah Gim Wah Construction Pte Ltd|Liu Xianming,Wu Ruixin|BETSY LAU CHUK KWAN
PROPOSED IMPROVEMENT TO TANGLIN HALT OUTLET DRAIN - CONTRACT 3 ON LOT 01145X, 01337X, 03631M & 04761A MK03 AT COMMONWEALTH AVENUE|LEE SIEW MIN , AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD|KHO CHZA MAIN,YAN JINTANG|
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SUCRALOSE FACILITY COMPRISING OF EXTENSION TO EXISTING WAREHOUSE AND ADDITIONS OF MICRONIZER DRYER EQUIPMENT SUPPORT TO EXISTING FINISHING (P4) BUILDING ON LOT 1653X MK34 SAKRA PLACE ON JURONG ISLAND|YEO TIN SHAT , AUDEX PTE LTD|ONG MENG WAN|ONG MENG WAN
PROPOSED ERECTION OF A BLOCK OF 5-STOREY MIXED DEVELOPMENT BUILDING WITH AN ATTIC AND 2 BASEMENTS MECHANISED CAR PARKS COMPRISING OF COMMERCIAL AT 1ST STOREY (56 COMM UNITS) AND RESIDENTIAL FROM 2ND TO 5TH STOREY (140 RESI FLATS) ON LOT 12823C MK 18 AT YIO|CHUA CHEE GAY , TAT HIN BUILDERS PTE LTD|LEE CHI KUAN|CHAN SZE CHIN
PROPOSED COMMERCIAL & RESIDENTIAL DEVELOPMENT COMPRISING ERECTION OF 4-STOREY PODIUM FOR COMMERCIAL USES (10 UNITS) AND A BLOCK OF 18-STOREY RESIDENTIAL FLATS (104 FLAT UNITS) WITH BASEMENT CARPARK & MULTI-STOREY CAR PARKING AND SWIMMING POOL ON MK17 LOT 0 ON LOT 05297X MK17 AT BALESTIER ROAD|CHIA  THENG SENG , TEAMBUILD ENGINEERING & CONSTRUCTION PTE. LTD.|ONG ENG HWEE|QUEK LENG LENG
PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF NEW ERECTION OF 18 BLOCKS OF 5-STOREY RESIDENTIAL BUILDING WITH ATTIC (553 UNITS) AND 24 UNITS OF 3-STOREY STRATA HOUSING WITH 2 STOREY BASEMENT CAR PARK AND COMMUNAL FACILITIES ON LOT 07163X & 07165C MK28 AT TEMP ROAD NAME|COLIN TAN , TIONG SENG CONTRACTORS PTE LTD|SAMUEL KUAN|
PROPOSED ADDITION AND ALTERATION FROM A 9-STOREY MULTIPLE USER INDUSTRIAL DEVELOPMENT TO A 8-STOREY SINGLE USER INDUSTRIAL DEVELOPMENT AND TO PROPOSE CHANGE OF USE OF THE BUILDING TO A NEW DATA CENTRE ON LOT 03292K MK23 AT NO 110 PAYA LEBAR ROAD (GEYLANG|HITLAR MEENAKSHI SUNDARESAN , M+W SINGAPORE PTE LTD|HUANG ZHAO REN ADRIAN JOSEPH|JEFFREY STUART ALLAN
PROPOSED ADDITIONS & ALTERATIONS TO AN EXISTING MANUFACTURING FACILITIES AT 28 GUL CRESCENT, LOT 00585X MK 07 (PIONEER PLANNING AREA) ON LOT 585X MK07 AT 28 GUL CRESCENT|Poomalai Mathivanan , Omni-Crest Engineering & Construction Pte Ltd|Phua Meng Thong|Sim Kooi Chuan
PROPOSED NEW ERECTION OF 4-STOREY CHURCH DEVELOPMENT WITH ATTIC AND 3 BASEMENT CARPARKS ON LOT 01068X TS 24 AT 355 TANGLIN ROAD (TANGLIN PLANNING AREA)|THEN JOON SHIN , Gammon Pte Ltd|CHUA CHIN HIANG,NIU JIANXIN|
PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02130C MK22 AT 35 KANG CHOO BIN ROAD (HOUGANG)|WANG JUN , MEHETABEL BUILDING & CONSTRUCTION PTE. LTD.|MAH GUAN PANG|Tan Chun Hao
PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 01442W MK 15 AT 37 JALAN NAGA SARI, SINGAPORE 288867|WONG CHOON LENG , SPG CONTRACTS MANAGEMENT PTE LTD|Tay Aik Jiun|GAN GEOK SAN
PROPOSED ADDITIONS & ALTERATIONS TO AN EXISTING 2-STOREY SEMI DETACHED DWELLING HOUSE ON LOT 02313L, MK 27 AT 276 UPPER EAST COAST ROAD|YONG SOO SIONG , BUILDER A PLUS PTE. LTD.|Koh Phee Leong|TAN BENG LEONG
PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT 03693X MK18 AT 13 JALAN BANGAU|LIM TOW MONG , KEIFER CONSTRUCTION PTE LTD|TAN BOON LEONG|KOH CHING LING
PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF NEW ERECTION OF 18 BLOCKS OF 5-STOREY RESIDENTIAL BUILDING WITH ATTIC (553 UNITS) AND 24 UNITS OF 3-STOREY STRATA HOUSING WITH 2 STOREY BASEMENT CAR PARK AND COMMUNAL FACILITIES ON LOT 07163X & 07165C MK28 AT TEMP ROAD NAME|COLIN TAN , TIONG SENG CONTRACTORS PTE LTD|YAP KOK CHEONG|ASHVINKUMAR SO KANTILAL
CONTRACT 481 DESIGN - CONSTRUCTION AND COMPLETION OF MARINA COASTAL EXPRESSWAY (MARINA WHARF) ON TS30 AT TEMP ROAD NAME|Fong Kam Wai , Hock Lian Seng Infrastructure Limited|NGAN SEE PYNG|
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 1 BLK OF 8-STY, 1 BLK OF 14-STY & 5 BLKS OF 18-STY RESIDENTIAL FLATS (TOTAL 694 UNITS) WITH 2-STY  CARPARK (BASEMENT & 1ST STOREY), COMMUNAL & COMMERCIAL FACILITIES, PRECINCT PAVILION & 2 BLKS OF ESS AT PUN ON LOT 2364K MK21 AT PUNGGOL DRIVE|FU XUE YONG , RICH CONSTRUCTION COMPANY PTE LTD|ER. S.N.VASUTANVAN|
PROPOSED NEW ERECTION OF PUBLIC HOUSING DEVELOPMENT COMPRISING OF 1 BLOCK OF 14-STOREY RESIDENTIAL BUILDINGS WITH COMMUNITY FACILITIES, SURFACE CARPARKS & PRECINCT PAVILION ON LOT 4018W MK 13 AT WOODLANDS CIRCLE|Alex Pang Tze Kin , SLF Construction Pte Ltd|Cheang Yew Kee|MABEL GOH MUI NGIM
IMPROVEMENT TO FARNBOROUGH / TELOK PAKU ROAD OUTLET DRAIN ON LOT 0343W, 03551V, 03933M, 04071N, 04372C, 04389V, 04455N, 04504W, 04671M & 04672W MK31 AT CHANGI VILLAGE ROAD, LOYANG AVENUE, TELOK PAKU ROAD|LEE SIEW MIN , AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD|TEO TECK LIONG|
PROPOSED ADDITIONS & ALTERATIONS INVOLVING ADDITIONS OF 3 NEW STAIRCASES TO THE EXISTING 6-STOREY STUDENT SERVICE CENTRE BUILDING AT NANYANG TECHNOLOGICAL UNIVERSITY AT NANYANG AVENUE (WESTERN WATER CATCHMENT) ON LOT 00176T, 00178K, 00180A, 00182N, 00029L, 00384T, 00385A, 01286N & 01289C MK09 AT NANYANG AVENUE|TOH KOK BOON RONNIE , HONTAGE DEVELOPMENT (PTE.) LTD.|TAN KING HEONG|CHUNG TEIK KEONG
PROPOSED ADDITIONS & ALTERATIONS TO EXTG 3-STOREY SEMI-DETACHEDDWELLING HOUSE WITH PROVISION OF A NEW ATTIC ON LOT 387 MK 15 ATNO. 15 JALAN SALANG, SINGAPORE 769500|V Chandramohan , Chern Hock Renovation & Trading Construction Pte Ltd|Wang Khang Neng|SUHAIMI HAJI SAID
PROPOSED ADDITIONS & ALTERATIONS TO AN EXISTING MANUFACTURING FACILITIES AT 21 GUL LANE, LOT 00875P MK 07 (PIONEER PLANNING AREA) ON LOT 00875P MK07 AT 21 GUL LANE|Poomalai Mathivanan , Omni-Crest Engineering & Construction Pte Ltd|Phua Meng Thong|Sim Kooi Chuan
PROPOSED ERECTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98179A MK 18 AT 8 PENSHURST PLACE|TOH HONG YONG , TECH-COM  Construction Pte Ltd|LEE KHIM CHONG|LEOW JONG KEE
PROPOSED ADDITION OF PHASE 6 TO THE APPROVED UNIVERSAL STUDIOS SINGAPORE AT EAST ZONE AS PART OF RESORTS WORLD AT SENTOSA DEVELOPMENT AT SENTOSA (SOUTHERN ISLAND PLANNING AREA) ON LOT 00424N, 00459M, 02742K, 02743N, 02771T, 02772A, 02773K, 02776L, 02779W & 02791N MK34 AT 8 SENTOSA GATEWAY|BIJOY JOSEPH , CHUAN LIM CONSTRUCTION PTE LTD|LOH KHIUK LING|LIM KOON PARK
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00939L MK14 AT 32 HAZEL PARK TERRACE|SOH CHIN GUAN , YONG CHOW CONSTRUCTION PTE LTD|YEO CHIN IUAN|LIM ENG KHOON
PROPOSED 1 UNIT OF 3TONS MONORAIL STEEL RUNWAY BEAM TO AN EXISTING FACTORY. ON LOT 04759L MK13 AT 22 WOODLANDS LINK|MUHAMMAD KHAIDIR BIN MOHAMED AMIN , MHE-DEMAG (S) PTE LTD|CHEANG JEN BOON|
PROPOSED ERECTION OF A 5-STOREY BLOCK OF RESIDENTIAL FLATS ( TOTAL: 16 UNITS) WITH ROOF TERRACES AND A BASEMENT CARPARK (MECHANICAL SYSTEM) AND A SWIMMING POOL AT 1ST STOREY ON LOT 2205A MK 25 AT 4 , HAIG AVENUE , SINGAPORE 438859|NG SHEN YING , DESHIN ENGINEERING & CONSTRUCTION PTE LTD|ZHOU TONG QUAN|STEVEN CHEN ZHI-HUANG
PROPOSED ERECTION OF FLAT DEVELOPMENT COMPRISING 3 BLOCKS OF 14-STOREY BUILDING, 1 BLOCK OF 15-STOREY BUILDING AND 4 BLOCKS OF 18-STOREY BUILDING (TOTAL: 702 UNITS) WITH 4 LEVELS OF BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 10313C MK|YONG TIAM YOON , WOH HUP (PRIVATE) LIMITED|LIU XIAN MING|CHOY MENG YEW
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 28/30-STOREY & 2 BLOCKS OF 40-STOREY RESIDENTIAL BUILDING (TOTAL 502 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, ESS, PRECINCT PAVILION & COMMUNITY FACILITIES ON LOT 3260W PT, 4118X PT, 7590A PT &|ADRIAN LIEW CHEE HONG , SUNHUAN CONSTRUCTION PTE LTD|LIEW VE KOON,NG WEE GIAP GARY|CHOY MENG YEW
PROPOSED ADDITION & ALTERATION WORKS TO EXISTING PART 1ST STOREY VOID DECK TO RESIDENTS' SENIOR ACTIVITY CENTRE AT BLK 574 WITH COVERED LINKWAY AT CHOA CHU KANG STREET 52, CHOA CHU KANG NEIGHBOURHOOD 5 CONTRACT 12 ON LOT 01678N & 03241L MK11 AT 574 CHOA CHU KANG STREET 52|Chuah Seong Beng , Right Construction Pte Ltd|ER NG PENG YUEN JOHN|MOHD ASADUZ ZAMAN
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY BUILDING WITH NEW ROOF MEZZANINE AND NEW 2-STOREY REAR EXTENSION WITH ROOF TERRACE AND ROOF ACCESS FOR RESIDENTIAL USE ON LOT 00608X TS 27 AT 74 CAIRNHILL ROAD SINGAPORE 229678|BONG KUET ONN , U.SAGE CONTRACTS PTE LTD|LIM KEAN TEONG|CHIK CHOOI FAH
PROPOSED DESIGN AND CONSTRUCTION OF BORED TUNNEL AND ASSOCIATED WORKS FOR NORTH SOUTH TRANSMISSION CABLE TUNNEL CONTRACT NS1 (FROM CH44.472 TO CH3107.967 AND FROM CH3107.967 TO CH5860.000) ON LOTS 0077N, 00467L, 01256A, 02107A, 04129K, 04130T, 04681P|Song Tae Won , Samsung C&T Corporation|Leow Ban Joo|
PROPOSED NEW ERECTION OF A 2-STOREY DETACHED HOUSE WITH BASEMENT ON LOT 618L MK02 AT 54D  KINGS ROAD|HONG YING , FUCOM CONSTRUCTION PTE LTD|XU CHUANXI|GWEN TAN TZE SUEN
PROPOSED A/A WORK TO AN EXISTING 3-STOREY INTERMEDIATE TERRACE HOUSE ON LOT 3789N MK03 AT 26 MAS KUNING TERRACE|Phua Poh Keow , Fu Beng Construction Pte Ltd|PHILIP YEO PENG YAM|MICHAEL TAN YONG SIANG
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING VICTORIA JUNIOR COLLEGE TO ADD A NEW SHELTERED BASKETBALL AND NETBALL COURT ON LOT 09338P MK 27 AT 20 MARINE VISTA|LIANG CHIN YEEN , FRONTBUILD ENGINEERING & CONSTRUCTION PTE LTD|ER.TAN BIN KEONG|HO YAN YOY
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXTG 2 STOREY BUILDING FOR USE AS A RESTAURANT WITH BAR LOUNGE AT 580 NETHERAVON ROAD; ON LOT 4655W MK31 AT 580 NETHERAVON ROAD|CHENG BENG TONG, GEORGE , CHING HENG CHOY BUILDING CONSTRUCTION PTE LTD|JASON GOH CHENG CHAI|SIM CHENG SOON SIMON
PROPOSED ERECTION OF CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 5-STOREY RESIDENTIAL FLATS (TOTAL 260 UNITS) WITH ATTIC, BASEMENT, COMMUNAL FACILITIES AND SWIMMING POOL ON LOT 04317W MK05 AT 19/19A TOH TUCK ROAD (BUKIT TIMAH PLANNING AREA)|LIM SEE HOW ,|Ng Boon Hoo|Desmond Chua Ti Hon
IMPROVEMENT TO FARNBOROUGH / TELOK PAKU ROAD OUTLET DRAIN ON LOT 0343W, 03551V, 04071N, 04372C, 04389V, 04455N, 04504W, 04505V, 04671M & 04674P MK31 AT CHANGI VILLAGE ROAD, LOYANG AVENUE, TELOK PAKU ROAD|LEE SIEW MIN , AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD|CHEANG YEW KEE|
PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01114X MK 10 AT 23 JALAN REMAJA (BUKIT BATOK PLANNING AREA)|OEI KEH YONG ESTHER , B & E GROUP PTE LTD|GARY NG WEE GIAP|LIM KIM NGIAP
PROPOSED ADDITION & ALTERATION COMPRISING INSTALLATION OF NEW UNDERGROUND AND ABOVEGROUND PIPELINES AND ERECTION OF RELATED ANCILLARY STRUCTURES FOR LEO PROJECT WITHIN THE WAYLEAVE ALLOCATION FOR SHELL EASTERN PETROLEUM PTE LTD AT PULAU AYER MERBAU ON LOT 2269L, 2273C, 2382V, 2404M, 2406V, 2891T, 3101T, 3103K, 3106L & 3156M MK34 AT PULAU AYER MERBAU|THAM KOK YING , CHIYODA SINGAPORE (PTE) LTD|WEE YIAN SOON|
PROPOSED ERECTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98179A MK 18 AT 8 PENSHURST PLACE|TOH HONG YONG , TECH-COM  Construction Pte Ltd|TAY AIK JIUN|LEOW JONG KEE
PROPOSED ROOF OVER EXISTING LINKWAY AT 3RD STOREY AT WHITLEY SECONDARY SCHOOL ON LOT16695T MK 18 AT 30 BISHAN STREET 24|LIANG CHIN YEEN , FRONTBUILD ENGINEERING & CONSTRUCTION PTE LTD|CHAN SENG TAH|HO YAN YOY
PROPOSED STRATA LANDED HOUSING DEVELOPMENT COMPRISING ERECTION OF 4 UNITS OF 3 STOREY STRATA TERRACE HOUSE WITH BASEMENT, SWIMMING POOL & ATTIC (TOTAL: 4 UNITS) ON LOTS 09636L PT MK 22 AT 27 RICHARDS AVENUE (HOUGANG PLANNING AREA)|ARAVINDHAN AARTHI , ROCKMANN PTE LTD|NG BOON HOO|
PROPOSED ERECTION OF 5-STOREY APARTMENT (TOTAL 48 UNITS) WITH ROOF TERRACE AND SWIMMING POOL AND OTHER COMMUNAL FACILITIES ON LOT 03544N MK 22 AT 30 KOVAN ROAD (HOUGANG PLANNING AREA)|TAN CHEE BENG , GOODLAND GROUP CONSTRUCTION PTE LTD|LIM KEAN TEONG|LEOW JONG KEE
PROPOSED LANDED HOUSING DEVELOPMENT COMPRISING 40 UNITS OF 3-STOREY TERRACE DWELLING HOUSES AND 6 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSE (TOTAL 46 UNITS, PHASE 8) ON LOT 00251N, 03310V, 05353N & 09425C MK18 AT SELETAR ROAD|ONG LEE HENG , SEAH CONSTRUCTION PTE LTD|GARY NG WEE GIAP|LEE KUT CHEUNG
PROPOSED ADDITION OF AN AWNING TO EXISTING HDB 527A (MSCP) ON LOT 01643P & 02431L MK11 AT 527A CHOA CHU KANG STREET 51|Lee Chong Heng , SENG FOO BUILDING CONSTRUCTION PTE LTD|WONG YOK SIONG|
PROPOSED ERECTION OF A 2 UNITS 3-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC EACH AND A SUNKEN SWIMMING POOL ON LOTS 03255A & 03256K MK 25 AT NO. 78 AND 80 LIM AH WOO ROAD|CHAN ZHAO WEI , SUN FONG TRADING PTE LTD|ZHOU TONG QUAN|POH MEOW CHIA
PROPOSED ERECTION OF 2 UNITS OF 3-STOREY SEMI-DETACHED AND 1 UNIT OF 3-STOREY DETACHED DWELLING HOUSES EACH WITH A ROOF TERRACE SWIMMING POOL ON LOT 00374M  MK 19 AT NO. 7 JALAN HIKAYAT|CHAN ZHAO WEI , SUN FONG TRADING PTE LTD|ZHOU TONG QUAN|POH MEOW CHIA
PROPOSED ERECTION OF 4-STOREY EQUIPMENT BUILDING WITH 1 BASEMENT AND TRANSMISSION CABLE TUNNEL SHAFT AT LOT 04019 P (PT) MK 07 AT PIONEER ROAD ON LOT 04019P MK07 AT PIONEER ROAD|HIROMU SHINODA , PENTA-OCEAN CONSTRUCTION CO LTD|JEE YI YNG|TJEN HIAN KA
PROPOSED RECONSTRUCTION TO AN EXISTING 3-STOREY SEMI DETACHED DWELLING HOUSE INVOLVING NEW ATTIC AT 83 LORONG MELAYU ON LOT 05044X MK23 AT 83 LORONG MELAYU|NUR AZHAR BIN ABDUL HAMID , MBE BUILDING TECHNOLOGY PTE LTD|MOHAMAD AYUB HASSAN|ZAHIDI AB RAHMAN
PROPOSED ADDITIONS AND ALTERATIONS AND CHANGE OF USE OF 5 STOREY INDUSTRIAL BUILDING FROM APPROVED SECONDARY DORMITORY TO WAREHOUSE AT MK23 ON LOT 05226W AT 361 UBI ROAD 3 (GEYLANG) SINGAPORE 408664|Lim Chin Heng , JDL Builder Pte Ltd|FOO SOON KWEE|SELVANAYAGAM N
PROPOSED ADDITIONS & ALTERATIONS TO AN EXISTING 2-STOREY SINGLE USER FACTORY DEVELOPMENT ON LOT 03456T MK 11 AT NO. 21 KRANJI LINK SINGAPORE 728671 (SUNGEI KADUT PLANNING AREA)|TAN JUI TECK , STERLING ENGINEERING PTE LTD|ZHOU TONG QUAN|ZHOU TONG QUAN
PROPOSED ADDITION AND ALTERATION TO EXISTING 2-STOREY SINGLE USER CENTRAL UTILITY PLANT (CUP) BUILDING INVOLVING ADDITIONAL CANOPY + FIRE PROTECTION SYSTEMS ON LOT 05539C MK13 AT 1 NORTH COAST DRIVE|HITLAR MEENAKSHI SUNDARESAN , M+W SINGAPORE PTE LTD|LING BOON KOK|CHEW SU CHUAN ADRIAN
PROPOSED ERECTION OF 3-STOREY EQUIPMENT BUILDING WITH 2 BASEMENT AND TRANSMISSION CABLE TUNNEL SHAFT AT LOT 03132T (PT) MK 34 AT TEMBUSU AVENUE ON LOT 03132T MK34 AT TEMBUSU AVENUE|HIROMU SHINODA , PENTA-OCEAN CONSTRUCTION CO LTD|JEE YI YNG|TJEN HIAN KA
PROPOSED ERECTION OF 2-STOREY VENTILATION BUILDING WITH 1 BASEMENT AND TRANSMISSION CABLE TUNNEL SHAFT AT LOT 01415 T (PT) MK 07 AT BENOI ROAD AND PIONEER ROAD ON LOT 01415T MK07 AT BENOI ROAD|HIROMU SHINODA , PENTA-OCEAN CONSTRUCTION CO LTD|JEE YI YNG|TJEN HIAN KA
PROPOSED DESIGN AND CONSTRUCTION OF 2.7M WIDE CONCRETE COVERED DRAIN AT B04 ON LOT 01404W MK 19 AT YISHUN AVENUE 2|TAN KONG HONG , ENG LAM CONTRACTORS CO (PTE) LTD|HO WAH FOO|
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING DOWNTOWN EAST INVOLVING ERECTION OF NEW RESORT ACCOMODATION (2 BLOCKS OF RESORT MAIN BLOCKS & 17 BLOCKS OF CHALET), STAND ALONE M&E PLANT ROOMS & BIN CENTRE AND ANCILLARY FACILITIES ON LOT 04801M MK31 AT 1 PASIR RIS CLOSE|Leow Ban Hong , Prelim Construction Pte Ltd|Tan Jiok Saw|TEOH HAI PIN
PROPOSED RETENTION OF ADDITION & ALTERATION WORKS TO EXISTING SINGLE -USER GENERAL INDUSTRIAL DEVELOPMENT (JTC STANDARD E8 FACTORY) ON LOT 2241V MK13 AT 31 SENOKO SOUTH ROAD|NGOH TAI WEE , RMA PROJECTS PTE. LTD.|Yeo Hong Eng|KHAW POH KOOI
PROPOSED NEIGHBOURHOOD RENEWAL PROGRAMME  (NRP) TO EXISTING PUBLIC HOUSING - PRECINCT C&D ON LOTS 08989L, 06907C, 06908M(PT)SL, 06888T SL & 09991K (PT)SL MK-24, AT BLOCKS 415 TO 427 SERANGOON AVENUE 1 / SERANGOON CENTRAL FOR MARINE PARADE TOWN COUNCIL (SER|OH SZE JACK , BM BUILDING PTE LTD|TIONG HOO TUONG|HUANG JIA YEU
