PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0706-00011-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2 - STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOTS 3897K & 3895T MK25 AT 5 GOODMAN ROAD  (MARINE PARADE PLANNING AREA)|ON LOT(S) 3895T  & 3897K  MK25 AT 5 GOODMAN ROAD|MR CLEMENT GERARD HENDRICKS UNIVERSAL AKITEK|ER TAN BIN KEONG B K TAN CONSULTANTS|26/01/2015
A0706-00012-2012-BP02|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND ATTIC ON LOT 06900X MK04 AT 8A NAMLY GROVE SINGAPORE 267313|ON LOT(S) 06900X  MK04 AT 8A NAMLY GROVE|MR CLEMENT GERARD HENDRICKS UNIVERSAL AKITEK|ER TAN HOOI KIAT THK CONSULTANT ENGINEERS|16/01/2015
A0707-00001-2012-BP02|PROPOSED ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT(S) 3659K  & 3660T  MK23 AT LORONG MARICAN SINGAPORE 417219|ON LOT(S) 3659K  & 3660T  MK23 AT LORONG MARICAN SINGAPORE 417219|MR LEE CHIEW LEONG ARCHIWAVE ARCHITECTS|Mr WANG KHANG NENG EPM CONSULTANTS,ER SOH MENG SENG CERICORN CONSULTANTS|16/01/2014
A0711-01980-2012-BP02|PROPOSED  ERECTION OF  2-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 6850X MK 17 AT 28 LORONG BIAWAK  SINGAPORE 358800|ON LOT(S) 06850X  MK17 AT 28 LORONG BIAWAK SINGAPORE 358800|MR HENG SWEE CHOON DESIGN DIMENSION ARCHITECTS|Mr GOH YONG CHENG YC GOH CONSULTANTS|29/01/2014
A0711-02127-2013-BP01|PROPOSED RECONSTRUCTIONOF EXISTING 2-STOREY TERRACE  DWELLING HOUSE TO 3-STOREY DWELLING HOUSE ON LOT 00647C MK 05 AT 72 JALAN MAS KUNING S128764|ON LOT(S) 00647C  MK05 AT 72 JALAN MAS KUNING|MR HENG SWEE CHOON DESIGN DIMENSION ARCHITECT|ER GOH YONG CHENG YC GOH CONSULTANTS|08/01/2015
A0712-00412-2012-BP02|PROPOSED NEW ERECTION OF 2 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSES WITH BASEMENT, ATTIC AND SWIMMING POOL ON LOT 99069M MK 01 AT 114 WISHART ROAD|ON LOT(S) 99069M  MK01 AT 114 WISHART ROAD|MR LAURENCE TAN JER KIAT CONSORTIUM 168 ARCHITECTS PTE LTD|ER LOOI POH YUN P.P. PROJECT CONSULTANTS,ER CHUA YEW HIN C P LIM & PARTNER,ER CHEANG YEW KEE J. PRO CONSULTING ENGINEERS LLP,ER LIM KEAN TEONG TNJ CONSULTANTS LLP,ER NG TIONG GUAN GEOENG CONSULTANTS (S) PTE LTD|28/01/2015
A0720-00126-2012-BP02|PROPOSED AMENDMENT TO APPROVED RECONSTRUCTION TO THE EXISTING 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT(S) 06755P  MK22 AT 6 PARRY WALK|ON LOT(S) 06755P  MK22 AT 6 PARRY WALK|MR LOW KIM CHING DEKO DESIGN & ASSOCIATES|Mr TAY AIK JIUN A.J. INGENIEURS|16/01/2014
A0720-00145-2011-BP01|PROPOSED ADDITIONS & ALTERATIONS TO AN EXISTING SINGLE-USER FACTORY WITH TEMPORARY SECONDARY WORKERS' DORMITORY (FOR 224 WORKERS) INVOLVING DEMOLITION OF PART OF EXTENDED WORKSHOP AT BLOCK 2, AND 4 STEEL MEZZANINE PLATFORMS AT BLOCK 1 AND 3 ON LOT(S) 00558L  MK11 AT 55 SUNGEI KADUT DRIVE SINGAPORE 729563|ON LOT(S) 00558L  MK11 AT 55 SUNGEI KADUT DRIVE SINGAPORE 729563|MR LOW KIM CHING DEKO DESIGN & ASSOCIATES|Mr TAN ENG HOW ACCORD ENGINEERING CONSULTANTS PTE LTD|25/01/2014
A0743-11555-2012-BP01|PROPOSED ERECTION OF A 2-STOREY FACTORY EXTENSION TO EXISTING SINGLE-STOREY SINGLE USER INDUSTRIAL FACTORY ON LOT(S) 00560X  MK11 AT 18C  SUNGEI KADUT STREET 4|ON LOT(S) 00560X  MK11 AT 18C  SUNGEI KADUT STREET 4|MS YOUNG KOK INN, GRACE AC CONSORTIUM PTE LTD|Mr BOEY CHOONG FATT CASE CONSULTANTS|09/01/2014
A0743-12606-2012-BP01|PROPOSED ERECTION OF A SINGLE-USER INDUSTRIAL DEVELOPMENT COMPRISING A BLOCK OF PART SINGLE/ PART 5-STOREY FACTORY BUILDING WITH ANCILLARY OFFICE AND A BLOCK OF 2-STOREY BUILDING WITH TEMPORARY ANCILLARY WORKERS' DORMITORY (59 WORKERS) AND TEMPORARY ANCILLARY STAFF CANTEEN ON LOT(S) 04633T  MK07 AT TUAS SOUTH STREET 12|ON LOT(S) 04633T  MK07 AT TUAS SOUTH STREET 12|MS YOUNG KOK INN, GRACE AC CONSORTIUM PTE LTD|Mr TAN ENG HOW ACCORD ENGINEERING CONSULTANTS PTE LTD, LEE CHI KUAN LONGROVE & ASSOCIATES PTE LTD,Mr FOO SOON KWEE BC KOH & PARTNERS  LLP|14/01/2014
A0743-12618-2012-BP02|PROPOSED ERECTION OF A PART SINGLE/PART 5-STOREY SINGLE-USER LIGHT INDUSTRIAL DEVELOPMENT WITH TEMPORARY ANCILLARY STAFF CANTEEN  ON LOT 04404W PT MK07 AT TUAS SOUTH STREET 15 (TUAS PLANNING AREA)|ON LOT(S) 04404W  MK07 AT TUAS SOUTH STREET 15|MS YOUNG KOK INN, GRACE AC CONSORTIUM PTE LTD|Mr SOH LIAN SENG P&T CONSULTANTS PTE LTD|08/01/2014
A0749-00266-2010-BP01|PROPOSED ERECTION OF A 5-STOREY BUILDING AS AN EXTENSION TO THE EXISTING 4-STOREY ASSOCIATION BUILIDNG ON LOT(S) 05997L , 95970C  & 95971M  MK24|ON LOT(S) 05997L , 95970C  & 95971M  MK24|MR TAN YEN SAN YI ARCHITECTS|CHEANG JEN BOON INTER-SYSTEM CONSULTANTS,Mr SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD|28/01/2014
A0757-00100-2013-BP02|PROPOSED UPGRADING TO GEYLANG METHODIST PRIMARY SCHOOL INVOLVING NEW ERECTION OF 2-STOREY INDOOR SPORTS HALL  AND 4 STOREY PRIMARY SCHOOL BUILDING, EXTENSION TO EXISTING 2-STOREY AND 4-STOREY PRIMARY ADMINISTRATION BUILDING ON LOT(S) 06281T  & 10662V  MK24 AT GEYLANG EAST CENTRAL|ON LOT(S) 06281T  & 10662V  MK24 AT GEYLANG EAST CENTRAL|MR LAU KWONG CHUNG LT&T ARCHITECTS|LAU TUNG NGIU DPC CONSULTING ENGINEERS,ER NG SHU WEI SHARRON ECAS-EJ Consultants Pte Ltd|26/01/2015
A0760-00005-2010-BP02|PROPOSED ERECTION OF 4-STOREY WITH BASEMENT, OFFICE ANCILLARY, KINDERGARTEN CLASSROOM PRAYER AND WORSHIP HALL CHURCH BUILDING ON LOT(S) 790T  MK14 AT GANGSA ROAD|ON LOT(S) 790T  MK14 AT GANGSA ROAD|MR DAVID HU T.M. DESIGN ARCHITECTS|Mr NG DICK YOUNG SHAN YOUNG & TUAH CONSULTANTS LLP,ER PHUA LIAN SOON HAINAL-KONYI (S) PTE LTD, ZHOU TONGQUAN TENWIT CONSULTANTS PTE LTD|23/01/2014
A0775-00021-2012-BP01|PROPOSED ROOF COVERING OVER VOID AT 3RD STOREY AT YU NENG PRIMARY SCHOOL MK 28 ON LOT 06843X AT 56 BEDOK NORTH STREET 3|ON LOT(S) 06843X  MK28 AT 56 BEDOK NORTH STREET 3|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|Mr CHAN SENG TAH STEC CONSULTANTS|20/01/2014
A0775-00027-2013-BP03|PROPOSED RECONSTRUCTION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ADDITION OF A SWIMMING POOL ON LOT(S) 00803M  MK25 AT 2  JALAN SEAVIEW|ON LOT(S) 00803M  MK25 AT 2  JALAN SEAVIEW|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|ER MOK SIOW JUAY PARTNERSHIP CONSULT|19/01/2015
A0779-00014-2012-BP02|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING HDB HUB   ADDITIONAL SHOPS AT PART OF 1ST STOREY ON LOT 10187P, 10186V MK 17 AT 480 LORONG 6 TOA PAYOH (TOA PAYOH PLANNING AREA)|ON LOT(S) 10186V  & 10187P  MK17 AT 480 LORONG 6 TOA PAYOH|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER LEE TAT SANG T S LEE CIVIL STRUCTURAL ASSOCIATES,Mr CHAN SWEE MENG SCE CONSULTANTS (PTE)|22/01/2014
A0779-00016-2013-BP01|PROPOSED ERECTION OF A 7-STOREY SINGLE-USER RAMP-UP WAREHOUSE DEVELOPMENT WITH CHEMICAL WAREHOUSE AND ISO TANK STORAGE ON LOT(S) 00317M  MK07 AT 146 GUL CIRCLE SINGAPORE 629604|ON LOT(S) 00317M  MK07 AT 146 GUL CIRCLE SINGAPORE 629604|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER TAY AIK JIUN A.J. INGENIEURS,ER KOH KOK KEANG BECA CARTER HOLLINGS & FERNER (S.E.ASIA)PTE LTD|13/01/2015
A0779-00901-2011-BP02|PROPOSED ERECTION OF A 8-STOREY RESIDENTIAL FLAT (6 UNITS)WITH 1ST STOREY CARPARK ON LOTS 96583L, 96585M & 96581N MK 25AT LORONG 8 GEYLANG (GEYLANG PLANNING AREA)|ON LOT(S) 96581N , 96583L  & 96585M  MK25 AT LORONG 8 GEYLANG|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER TAN MENG LIANG MTECH CONSULTANTS|27/01/2014
A0779-00914-2009-BP03|PROPOSED INTEGRATED COMMERCIAL & RESIDENTIAL DEVELOPMENT COMPRISING 7 BLOCKS OF 5-STOREY RESIDENTIAL (CONDOMINIUM) BUILDING (TOTAL 319 RESIDENTIAL UNITS) WITH PROVISION OF BASEMENT CARPARKS, A SWIMMING POOL & COMMUNAL FACILITIES AND 2-STOREY COMMERCIAL BUILDING WITH SHOPS AND SUPERMARKET(TOTAL 35 UNITS) / BASEMENT CARPARKS ON LOT(S) 17047L  MK18 AT YIO CHU KANG ROAD|ON LOT(S) 17047L  MK18 AT YIO CHU KANG ROAD|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,Mr NG SOON HUA S.H.NG CONSULTANTS,Mr CHAN EWE JIN ECAS-EJ CONSULTANTS PTE LTD,Mr BUDI LEE MEINHARDT (SINGAPORE)  PTE LTD,Mr DONG WEI BIN DWB CS-ENGINEERING CONSULTANTS,Mr YONG DEUNG MING GEOSTRUCT INTERNATIONAL PTE LTD|07/01/2014
A0779-00954-2010-BP02|PROPOSED ERECTION OF A 5-STOREY APARTMENT (47 UNITS) WITH ATTIC, BASEMENT CARPARK AND COMMUNAL FACILITIES ON LOT(S) 01290X  & 06923X  MK23 AT UPPER PAYA LEBAR ROAD,  LORONG AH SOO|ON LOT(S) 01290X  & 06923X  MK23 AT UPPER PAYA LEBAR ROAD,  LORONG AH SOO|MR LIM MENG HWA ADDP ARCHITECTS LLP|Mr WU CHUAN C WU CONSULTING ENGINEERS,ER TAN CHARNG CHERNG TAN CHARNG CHERNG & ASSOCIATES,Mr LAUW SU WEE LSW CONSULTING ENGINEERS PTE LTD|09/01/2014
A0780-10007-2011-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING SINGLE-USER FACTORY INVOLVING EXTENSIONS TO EXISTING BLOCK B AND C, AND NEW ERECTIONS OF SINGLE-STOREY BLOCK  E ON LOT(S) 03350T  MK07 AT 6  TUAS VIEW LANE|ON LOT(S) 03350T  MK07 AT 6  TUAS VIEW LANE|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|Mr LAU TUNG NGIU DPC CONSULTING ENGINEERS|21/01/2014
A0780-12017-2013-BP01|ADDITIONS AND ALTERATIONS TO 1ST STOREY OF EXISTING 17-STOREY CONDOMINIUM DEVELOPMENT (ELIZABETH HEIGHTS CONDOMINIUM) INVOLVING RELOCATION OF GUARD HOUSE AND ADDITION OF ENTRANCE CANOPY ON LOT(S) 00720M , 13-1 , 13-2  & 541  TS27 AT 57 CAIRNHILL ROAD|ON LOT(S) 00720M , 13-1 , 13-2  & 541  TS27 AT 57 CAIRNHILL ROAD|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|Mr AZIZ BIN MANIJAN AZFA CONSULTANT|24/01/2014
A0780-12033-2013-BP02|PROPOSED AMENDMENT TO APPROVED RECONSTRUCTION TO AN EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF A THIRD STOREY ON LOT(S) 03553P  MK23 AT 10B JALAN RIMAU|ON LOT(S) 03553P  MK23 AT 10B JALAN RIMAU|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|ER TEO THIAN POH ASE CONSULTANTS,ER CHAN KUAN HOE, JEROME LR2J CONSULTING ENGINEERS|22/01/2015
A0780-14007-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO AN EXISTING SINGLE-USER FACTORY ON LOT(S) 01378X  MK07 AT 2 TUAS DRIVE 1|ON LOT(S) 01378X  MK07 AT 2 TUAS DRIVE 1|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|ER CHUANG FERN CF CONSULTANTS,ER LAU CHEE HOONG BENJAMIN|27/01/2015
A0781-00007-2007-BP02|PROPOSED COMMERCIAL & RESIDENTIAL DEV'T COMPRISING 1 BLK OF 54-STY FLATS (510 UNITS), 1 BLK OF 23-STY OFFICE BLDG, 2 BASEMENTS (M&E, CAR PARK & SERVICES),  7-STY  PODIUM (2-STY COMMERCIAL & 5-STY CAR PARKS) WITH SWIMMING POOL & COMMUNAL FACILITIES ON LOT 00080T TS 30 AT NO. 5 SHENTON WAY (DOWNTOWN CORE PLANNING AREA)|ON LOT(S) 80T  TS30 AT 5 SHENTON WAY|MR NGU KING TENG ARCHITECTS 61 PTE LTD|ER LIM HWEE SIN DE CONSULTANTS (S) PTE LTD|10/01/2015
A0781-00016-2013-BP01|PROPOSED RESIDENTIAL DEVELOPMENT COMPRISING OF 2 BLOCKS OF 22-STOREY APARTMETNS, 3 BLOCKS OF 20-STOREY APARTMENTS AND 8 UNITS OF STRATA LANDED HOUSES (TOTAL: 495 UNITS) WITH SHOP, COMMON BASEMENT CARPARKS, LANDSCAPE DECK AND COMMUNAL FACILTIES ON LOT 4789|ON LOT(S) 4789X  MK20 AT FERNVALE CLOSE|MR WONG TOON JIN ADDP ARCHITECTS LLP||16/01/2014
A0784-01216-2012-BP01|PROPOSED THOMSON RIDGE ESTATE UPGRADING PROGRAMME (EUP) ON LOT(S) 01207K , 01209X  & 02681L  MK15 AT JALAN LEMBAH THOMSON|ON LOT(S) 01207K , 01209X  & 02681L  MK15 AT JALAN LEMBAH THOMSON|MR CHUA SEOW ANN S A CHUA ARCHITECTS PTE LTD||24/01/2014
A0784-01254-2012-BP01|PROPOSED ADDITON OF COVERED STAGE NEXT TO EXISTING PUBLIC HOUSING BLOCK 608 AT CLEMENTI WEST STREET 1 ON LOT 04371V MK 03 (CLEMENTI PLANNING AREA)|ON LOT(S) 04371V  MK03 AT 608 CLEMENTI WEST STREET 1|MR CHUA SEOW ANN S A CHUA ARCHITECTS PTE LTD|Mr POH CHER SENG GRACE CONSULTANTS|22/01/2014
A0784-01256-2013-BP01|PROPOSED COMMUNITY PAVILION NEAR PUBLIC HOUSING BLOCK 731 CLEMENTI WEST ST 2 ON LOTS 08722A MK 05 (CLEMENTI PLANNING AREA)|ON LOT(S) 08722A  MK05 AT 731 CLEMENTI WEST STREET 2|MR CHUA SEOW ANN S A CHUA ARCHITECTS PTE LTD|Mr POH CHER SENG GRACE CONSULTANTS|27/01/2014
A0792-00002-2010-BP01|PROPOSED ADDITION & ALTERATION TO THE EXISTING 3-STOREY CONSERVATION SHOPHOUSE WITH A REAR EXTENSION ON LOT 99690X TS 23 AT NO 19 BLAIR ROAD (BUKIT MERAH PLANNING AREA)|ON LOT(S) 99690X  TS23 AT 19 BLAIR ROAD|MR LEE SONG WEE MUZI DESIGN|Mr CHEW KHEK HAN MSE ENGINEERING & MANAGEMENT CONSULTANTS|09/01/2014
A0799-01132-2011-BP01|PROPOSED ERECTION OF A SINGLE STOREY AIRCRAFT REPAIR WORKSHOP (SINGLE USER) WITH 2-STOREY ANNEX BUILDING AND ADDITIONS AND ALTERATIONS TO EXISTING SINGLE STOREY HANGAR ON LOTS 04379V,04560V & 04666A (FORMERLY KNOWN AS 04378W PT)MK20 AT WEST CAMP ROAD|ON LOT(S) 04379V , 04560V  & 04666A  MK20|MR LIU KAH TECK LIU & WO ARCHITECTS PTE LTD|Mr SOON WON MOI MOTT MACDONALD SINGAPORE PTE LTD,Mr LIAU WAI KUN KEON ENGINEERING|29/01/2014
A0798-00055-2012-BP01|PROPOSED CONSERVATION, ADDITIONS AND ALTERATIONS TO EXISTING SINGLE-STOREY DETACHED DWELLING HOUSE AND 2-STOREY EXTENSION WITH ATTIC AND SWIMMING POOL ON LOT 03359X MK 02 AT 26A SWETTENHAM ROAD (TANGLIN PLANNING AREA)|ON LOT(S) 03359X  MK02 AT 26A SWETTENHAM ROAD|MS CHENG AH CHIN IN MEDIARES ARCHITECT|Mr NG SENG BUAN S B NG & ASSOCIATES C E|21/01/2014
A0799-01163-2012-BP02|PROPOSED ERECTION OF A TWO-STOREY RECREATION BUILDING ON LOT 06858K PT MK 25 AT RHU CROSS|ON LOT(S) 06858K  MK25|MR LIU KAH TECK LIU & WO ARCHITECTS PTE. LTD.|ER MAH GUAN PANG MABA ENGINEERING CONSULTANTS,ER BUDI LEE MEINHARDT (SINGAPORE)  PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|19/01/2015
A0799-01172-2013-BP02|PROPOSED ERECTION OF 2-STOREY BUNGALOW ON LOT 96454V MK 17 AT 31 COTSWOLD CLOSE|ON LOT(S) 96454V  MK17|MR LIU KAH TECK LIU & WO ARCHITECTS PTE LTD|POH CHER SENG GRACE CONSULTANTS|26/01/2015
A0799-11901-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING DARUL AMAN MOSQUE INVOLVING ADDITION OF EXTERNAL LIFT AND LINKWAY AND UPGRADING OF THE 1ST STOREY FEMALE TOILET/ ABLUTION ON LOT 3185A MK 23 AT 1 JALAN EUNOS|ON LOT(S) 3185A  MK23 AT 1 JALAN EUNOS|MR LIU KAH TECK LIU & WO ARCHITECTS PTE LTD|Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS|14/01/2014
A0805-01355-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS WORK AT 3RD STOREY OF THE EXISTING 4-STOREY WAREHOUSE AND OFFICE BUILDING ON LOT 09529V MK 27 AT NO. 9 CHANGI SOUTH STREET 3, SINGAPORE 486361|ON LOT(S) 09529V  MK27|MR EVERT C VICKERY ARCHITECTS TEAM 3 PTE LTD.|ER LIM BENG WOON PnE CONSULTANTS|19/01/2015
A0808-00006-2013-BP01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 097587K TS 18 AT NO 16 CAMBRIDGE ROAD, SINGAPORE 219696|ON LOT(S) 097587K  MK18 AT 16 CAMBRIDGE ROAD|MR YEO AIK KHOON|ER TAY AIK JIUN A.J. INGENIEURS|02/01/2015
A0814-00003-2014-BP01|PROPOSED FLAT DEVELOPMENT COMPRISING 9 BLK OF 16-STY RESI & 6 UNIT OF 2-STOREY STRATA TERRACE & A PAIR OF STRATA SEMI-DETACHED (TOTAL: 1165 UNITS) & RETAIL SHOP AT PODIUM (TOTAL: 6 UNITS) WITH 1-STOREY PODIUM CARPARK, BASEMENT CARPARK, TENNIS COURT, SWIMM ON LOT(S) 9752A  MK22 AT UPPER SERANGOON VIEW|ON LOT(S) 9752A  MK22 AT UPPER SERANGOON VIEW|MR CHOY MENG YEW P&T CONSULTANTS PTE LTD|ER TAN CHEE HEAN P&T Consultants Pte Ltd,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|14/01/2015
A0814-00003-2013-BP01|PROPOSED 4 STOREY COMMERCIAL DEVELOPMENT WITH 2 STOREY OF BASEMENT CARPARK ON LOT 01048A AT 7 TO 19 SAM LEONG ROAD (KALLANG PLANNING AREA)|ON LOT(S) 01048A  TS17 AT 7 TO 19 SAM LEONG ROAD|MR CHOY MENG YEW P&T CONSULTANTS PTE LTD||30/01/2014
A0814-00011-2010-BP02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLKS. OF 16-STY. RESIDENTIAL BUILDING (TOTAL : 540 UNITS) WITH A BLK. OF MULTI-STOREY CARPARK, ESS, RESIDENT'S COMMITTEE CENTRE & PRECINCT PAVILION (WOODLANDS N7 C28) MK13 ON LOT 5846A AT WOODLANDS CRESCENT (WOODLANDS PLANNING AREA)|ON LOT(S) 05846A  MK13 AT WOODLANDS CRESCENT|MR CHOY MENG YEW P&T CONSULTANTS PTE LTD|ER TAN MENG LIANG MTECH CONSULTANTS,Mr LEUNG WAI MAN P & T CONSULTANTS PTE LTD,Mr CHIA KAY HUA ROBIN JYC CONSULTANTS,Mr GARY NG WEE GIAP GNG CONSULTING ENGINEERS|15/01/2014
A0814-00012-2013-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 27-STOREY RESIDENTIAL BUILDING (TOTAL 286 UNITS) WITH A BLOCK OF MULTI-STOREY CAR PARK COMPRISING SENIOR ACTIVITY CENTRE PRECINCT PAVILION & ESS AT BUKIT BATOK STREET 31 (BT BATOK N3 C13) ON LOT(S) 3197X  MK10 AT BUKIT BATOK STREET 31|ON LOT(S) 3197X  MK10 AT BUKIT BATOK STREET 31|MR CHOY MENG YEW P&TCONSULTANTS PTE LTD|ER LEE TAT SANG T S LEE CIVIL STRUCTURAL ASSOCIATES,ER SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD,ER Liew Ve Koon P&T Consultants Pte Ltd|27/01/2015
A0816-00305-2010-BP03|PROPOSED STRATA LANDED DEVELOPMENT FOR ERECTION OF 2 STOREY AND 3 STOREY STRATA SEMI DETACHED HOUSES (TOTAL 82 UNITS) WITH ATTIC, BASEMENT CARPARKS, CLUBHOUSE AND SWIMMING POOL ON LOT 6992N (FORMERLY KNOWN AS LOT 03829N PT)  MK 04  AT HOLLAND LINK|ON LOT(S) 06992N  MK04|MR HO SEOW HUI JGP ARCHITECTURE (S) PTE LTD|Mr GOH CHIN KOON GLT ENGINEERS PRIVATE,ER TAN CHARNG CHERNG TAN CHARNG CHERNG & ASSOCIATES|09/01/2014
A0816-00394-2014-BP01|PROPOSED ERECTION OF A BLOCK OF 11 STOREY NURSING HOME DEVELOPMENT ON LOT 10210V PT MK27 AT CHAI CHEE STREET (BEDOK PLANNING AREA)|ON LOT(S) 10210V  MK27 AT CHAI CHEE STREET|MR HO SEOW HUI JGP ARCHITECTURE (S) PTE LTD||05/01/2015
A0817-00308-2011-BP02|PROPOSED ERECTION OF A SINGLE-USER 10-STOREY WAREHOUSE DEVELOPMENT WITH COMMERCIAL USES ON LOT 03584L MK11 AT SUNGEI KADUT DRIVE (SUNGEI KADUT PLANNING AREA)|ON LOT(S) 3584L  MK11 AT SUNGEI KADUT DRIVE|MR LAU MOH LIM 3P ECOTECTURE|ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES,ER LAUW SU WEE LSW CONSULTING ENGINEERS PTE LTD,ER HO WAH FOO TEAMWORK CONSULTANTS|27/01/2015
A0817-00321-2013-BP01|PROPOSED ERECTION OF 4 BLOCKS OF 4-STOREY FOREIGN WORKERS DORMITORY BLOCKS, 2 BLOCKS OF 1-STOREY KITCHEN BLOCK AND A BLOCK OF 1-STOREY ANCILLARY ADMIN BLOCK (TOTAL 4000 WORKERS) ON LOT 4772A MK 20 AT PULAU PUNGGOL TIMOR (SELETAR PLANNING AREA) (PPT LODGE|ON LOT(S) 4772A  MK20|MR LAU MOH LIM 3P ECOTECTURE PTE LTD|ER TENG GEOK SENG C P LIM & PARTNERS|05/01/2015
A0817-00322-2014-BP02|PROPOSED ERECTION OF 13 BLOCKS OF 4-STOREY FOREIGN WORKERS' DORMITORY,  A BLOCK OF 2-STOREY ANCILLARY FACILITIES BLOCK AND A BLOCK OF 2-STOREY ANCILLARY CINEMA BLOCK (TOTAL 14,000 WORKERS) ON STATE LAND LOT 4773K MK 20 AT PULAU PUNGGOL TIMOR (SELETAR PLAN ON LOT(S) 04773K  MK20|ON LOT(S) 04773K  MK20|MR LAU MOH LIM 3P ECOTECTURE PTE LTD|ER HO WAH FOO TEAMWORK CONSULTANTS|27/01/2015
A0818-00008-2013-BP01|PROPOSED A&A WORKS CONSISTING OF TWO STOREY ANALYTICAL FACILITY AT LEVEL 6 PODIUM ROOF AND GENERATOR ROOM AT ON LOT(S) 99276W , 99286X , 99305P , 99308K , 99311K , 99320W , 99323T , 99326N , 99334W , 99369A , 99378M , 99404C  & 99433X  TS23 AT 391 NEW BRIDGE ROAD|ON LOT(S) 99276W , 99286X , 99305P , 99308K , 99311K , 99320W , 99323T , 99326N , 99334W , 99369A , 99378M , 99404C  & 99433X  TS23 AT 391 NEW BRIDGE ROAD|MR LEE CHEE PENG SKM (SINGAPORE) PTE LTD|Mr WEE BOON LIANG MILLENNIUMS CONSULTANTS|21/01/2014
A0818-00026-2014-BP01|PROPOSED CONVERSION AND ADDITION & ALTERATION WORKS TO EXISTING PART 1ST STOREY HDB VOID DECK  TO  CHILDCARE CENTRE  ON LOT 3371V MK 19 AT BLOCK 426C & BLOCK 426D YISHUN AVENUE 11|ON LOT(S) 3371V  MK19 AT YISHUN AVENUE 11|MR LEE CHEE PENG L&L CONSULTANTS||26/01/2015
A0819-00158-2006-BP03|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT ON LOT 99273V MK15, ORIOLE CRESCENT|ON LOT(S) 99273V  MK15 AT ORIOLE CRESCENT|MR LEE MUN HOE 3PA INTERNATIONAL|ER GOH KHAI SIANG TH CHUAH & PARNNERS LLP,ER CHUA YEW HIN C P LIM & PARTNER|29/01/2015
A0819-00182-2010-BP02|PROPOSED ERECTION OF PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 29-STOREY AND 2 BLOCKS OF 27-STOREY RESIDENTIAL BUILDING (TOTAL 577 UNITS) WITH 1 BLOCK OF 5-STOREY MULTI STOREY CARPARK, PRECINCT PAVILION, FUTURE COMMUNITY FACILITIES AND NEIGHBOURHOO ON LOT(S) 01268T , 01439M , 01442M  & 01645X  MK14 AT SENJA ROAD|ON LOT(S) 01268T , 01439M , 01442M  & 01645X  MK14 AT SENJA ROAD|MR LIM HWEE SIN DE CONSULTANTS (S) PTE LTD|Mr LIM HWEE SIN DE CONSULTANTS (S) PTE LTD,Mr SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD, ZHOU TONGQUAN TENWIT CONSULTANTS PTE LTD,Mr CHAN KUAN HOE, JEROME LR2J CONSULTING ENGINEERS|03/01/2014
